time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
1019,90112,86.88,178.938,11,88,0.392822265625,0.18,0.0383586696922066,-1.2155522687360645,0.36651915311813354,0.0003,0.02411498,187.14109802246094,100,700.4307481201365,,
1105,98304,102.56,181.56399999999996,12,88,0.1109130859375,0.18,-0.008622723700318602,-1.235004088561982,0.4905484914779663,0.0003,0.008361837,162.10887145996094,110,678.6233132744208,,
1183,106496,87.51,181.18099999999998,13,89,0.3607177734375,0.18,0.01608422377394163,-1.2253063729498535,0.5818537473678589,0.0003,0.028184565,54.15681838989258,120,491.13896781792863,,
1277,114688,92.56,214.94800000000004,14,89,0.13990478515625,0.18,-0.003571158971044497,-1.197185078728944,0.5090005397796631,0.0003,0.012290202,108.3600082397461,130,593.8145819989965,,
1361,122880,121.97,246.253,15,90,0.07650146484375,0.18,-0.010917983110812202,-1.1952373479492961,0.44486260414123535,0.0003,0.0078034513,71.37245178222656,140,668.2892895288766,,
1436,131072,108.67,219.82899999999998,16,91,0.31806640625,0.18,0.01403045939441654,-1.1500871657859535,0.5685621500015259,0.0003,0.030167256,66.37342071533203,150,513.056916609127,,
1521,139264,114.75,254.405,17,91,0.17559814453125,0.18,-0.004788083041057689,-1.1614587733056396,0.5338563919067383,0.0003,0.009784619,112.3939437866211,160,672.9038632880896,,
1602,147456,120.09,252.57299999999998,18,92,0.1393798828125,0.18,-0.008426536752631364,-1.1371376592665912,0.5575727224349976,0.0003,0.011228099,184.38023376464844,170,612.6973614716902,,
1684,155648,133.78,262.972,19,92,0.1036376953125,0.18,-0.008078524707161704,-1.11167776430957,0.554929792881012,0.0003,0.007927304,74.03199005126953,180,707.917200987041,,
1753,163840,157.3,4.553999999999984,20,93,0.48094482421875,0.18,0.0723086713702287,-1.1014254600042477,0.5779457092285156,0.0003,0.3442908,1067.469482421875,190,697.5197305338224,,
1807,172032,167.22,-330.49199999999996,21,95,0.12169189453125,0.18,0.007602569984828733,-0.6167092347022844,0.4525566101074219,0.0003,0.04483246,749.395751953125,200,1216.429519797623,,
1873,180224,134.23,-168.55500000000004,22,96,0.05101318359375,0.18,-0.0037923614258033923,-0.6042595914914273,0.45969587564468384,0.0003,0.005333015,219.3648681640625,210,1010.7580335297622,,
1941,188416,163.05,-275.00299999999993,23,97,0.0921142578125,0.18,-0.0058185176218103155,-0.8980323753916309,0.5722216963768005,0.0003,0.08257866,100.9984359741211,220,1052.733399400115,,
1985,196608,229.4,-590.154,24,99,0.04801025390625,0.18,0.001031090867036255,-0.3547114475069975,0.7447887063026428,0.0003,0.03472441,6.044012069702148,230,705.1980963270762,,
2033,204800,242.53,-683.8850000000001,25,100,0.045068359375,0.18,-0.0005526354247194831,-0.3642655187184573,0.7945754528045654,0.0003,0.0077525657,37.54353713989258,240,1112.7897429898208,,
2093,212992,203.12,-537.678,26,101,0.04344482421875,0.18,-0.005000980975819402,-0.4731784249859629,0.8365128636360168,0.0003,0.0053910436,360.02239990234375,250,2515.9252486653627,,
2151,221184,175.52,-424.53,27,102,0.0484130859375,0.18,-0.005750650253867206,-0.5439523904788075,0.8234481811523438,0.0003,0.0046755997,632.356689453125,260,2485.2559420995412,,
2214,229376,83.43,-80.237,28,103,0.05174560546875,0.18,-0.006910938012151746,-0.5635762865727884,0.8631620407104492,0.0003,0.0060349833,339.9476013183594,270,2758.900482995808,,
2299,237568,56.93,20.891000000000005,29,103,0.05611572265625,0.18,-0.007747364736678719,-0.7279257192334626,0.8063037395477295,0.0003,0.00489949,84.37818145751953,280,3415.821623046696,,
2395,245760,71.9,49.46,30,102,0.15013427734375,0.18,-0.005551113068577251,-0.8401743868598714,0.7792977094650269,0.0003,0.0076699965,257.1868896484375,290,2788.0571968004106,,
2488,253952,74.45,77.73299999999999,31,102,0.093701171875,0.18,-0.009442502320280256,-0.8797762302448973,0.7571571469306946,0.0003,0.0067836195,39.702003479003906,300,2074.3169662341475,,
2575,262144,89.14,86.26400000000001,32,101,0.1203857421875,0.18,-0.008383409613361436,-0.8956153152073967,0.8075993061065674,0.0003,0.012335967,291.5569763183594,310,1568.9358224481343,,
2666,270336,82.15,180.30699999999996,33,101,0.106298828125,0.18,-0.010952129884753959,-0.9363516411394812,0.6809775233268738,0.0003,0.008113194,113.00202941894531,320,1591.2323097385465,,
2755,278528,93.99,198.45700000000005,34,101,0.121044921875,0.18,-0.009845238646630606,-1.00447374075884,0.5532000660896301,0.0003,0.0094019165,196.00856018066406,330,930.7795407358557,,
2833,286720,90.84,210.794,35,101,0.1538818359375,0.18,-0.0078034868947725045,-0.967604974436108,0.46071600914001465,0.0003,0.015291199,452.19744873046875,340,922.9813364062459,,
2921,294912,114.39,226.31900000000002,36,100,0.10069580078125,0.18,-0.011481585036744946,-0.9804566923994571,0.4918332099914551,0.0003,0.008042534,158.23764038085938,350,759.8417554110289,,
2993,303104,117.08,248.45599999999996,37,101,0.21104736328125,0.18,0.0021273116115480663,-0.9512326136697083,0.6025230884552002,0.0003,0.014554779,70.4063720703125,360,764.6659098405391,,
3074,311296,110.99,249.797,38,101,0.096533203125,0.18,-0.010846085313460208,-0.9711520090932027,0.5519893169403076,0.0003,0.007545342,849.2384643554688,370,890.1389329254628,,
