#{"t_start": 1761619260.1230302, "env_id": "None"}
r,l,t
859.85,1000,7.047622
1401.8,1000,13.153598
510.5,1000,19.318575
1262.25,1000,25.498283
1075.2,1000,31.751095
-70.55,1000,38.031837
2006.1,1000,44.333826
2000.75,1000,50.624567
1839.5,1000,56.883527
1501.0,1000,63.117812
-169.15,1000,69.307963
-474.55,1000,75.472872
-749.1,1000,81.555082
-477.45,1000,87.637807
-711.95,1000,93.713364
-1059.05,1000,99.806098
-781.1,1000,105.822129
-764.15,1000,111.778965
-240.5,1000,117.5996
-565.15,1000,123.442545
-397.85,1000,129.164029
-432.7,1000,134.893641
-588.75,1000,140.5927
-418.75,1000,146.311919
-256.7,1000,151.947482
4573.8,1000,157.680187
4281.75,1000,163.271345
4529.2,1000,168.935033
4898.2,1000,174.630666
4825.4,1000,180.330946
5302.5,1000,185.86284
5287.2,1000,191.382403
5152.2,1000,196.983699
663.7,1000,202.557332
66.0,1000,208.085439
-366.2,1000,213.621268
-598.5,1000,219.248994
-331.8,1000,224.852296
-249.65,1000,230.528245
-82.85,1000,236.08343
-143.95,1000,241.74438
152.55,1000,247.281116
62.75,1000,252.863656
-154.9,1000,258.369163
70.9,1000,263.881959
210.2,1000,269.337942
30.25,1000,274.859479
205.8,1000,280.3685
-132.5,1000,285.911867
223.9,1000,291.415118
503.75,1000,296.902428
370.0,1000,302.294948
-9.45,1000,307.614951
265.5,1000,312.94116
535.35,1000,318.226164
228.55,1000,323.527917
130.2,1000,328.808233
435.3,1000,334.230494
236.35,1000,339.625211
330.3,1000,345.071306
435.3,1000,350.464988
133.25,1000,355.925015
227.6,1000,361.329248
215.4,1000,367.004475
525.65,1000,372.678612
421.6,1000,378.439438
404.85,1000,384.151998
435.3,1000,389.96437
540.3,1000,395.733993
410.4,1000,401.537072
815.35,1000,407.341065
492.2,1000,413.213901
140.1,1000,419.11154
424.65,1000,424.869179
784.15,1000,430.574672
317.75,1000,436.29319
217.7,1000,442.042294
324.8,1000,447.755451
383.2,1000,453.583007
19.9,1000,459.589667
635.4,1000,465.594835
6389.65,1000,471.56121
5949.8,1000,477.592361
6003.65,1000,483.614448
6103.4,1000,489.561036
2477.35,1000,495.580907
3480.5,1000,501.516104
566.25,1000,507.534313
390.45,1000,513.552361
260.4,1000,519.574822
178.2,1000,525.562507
335.25,1000,531.438613
930.6,1000,537.272416
225.3,1000,543.00442
335.25,1000,548.627792
425.4,1000,554.268715
430.35,1000,559.866041
40.1,1000,565.407157
540.3,1000,570.915653
480.45,1000,576.595525
235.2,1000,582.274605
430.35,1000,587.883107
240.15,1000,593.427068
530.4,1000,598.999473
630.45,1000,604.543791
470.55,1000,610.005582
435.3,1000,615.468367
220.55,1000,620.910566
215.4,1000,626.359559
330.3,1000,631.821115
625.5,1000,637.257684
105.85,1000,642.68132
530.4,1000,648.020811
430.35,1000,653.391869
536.5,1000,658.763348
340.2,1000,664.012352
325.35,1000,669.238186
340.2,1000,674.553353
320.4,1000,679.887367
415.5,1000,685.268977
120.5,1000,690.719378
406.75,1000,696.415562
220.95,1000,702.110729
182.35,1000,707.880126
440.25,1000,713.672705
530.4,1000,719.491356
526.6,1000,725.133198
715.65,1000,730.859471
217.7,1000,736.502123
519.55,1000,742.166466
580.5,1000,747.7214
320.8,1000,753.332297
231.4,1000,758.983799
233.5,1000,764.5933
5873.35,1000,770.183557
6404.25,1000,775.782841
996.4,1000,781.362771
554.95,1000,786.848983
225.3,1000,792.349917
164.55,1000,797.834745
232.35,1000,803.345324
230.25,1000,808.798697
330.3,1000,814.345446
428.45,1000,819.867483
535.35,1000,825.383112
521.65,1000,830.863821
114.4,1000,836.369946
724.6,1000,841.791638
234.25,1000,847.23065
209.0,1000,852.624374
428.45,1000,857.998868
834.55,1000,863.290347
530.4,1000,868.608623
440.25,1000,873.901299
535.35,1000,879.262823
424.45,1000,884.528496
-60.0,1000,890.001283
