#{"t_start": 1761619260.117998, "env_id": "None"}
r,l,t
1131.8,1000,7.050161
1442.9,1000,13.15663
1130.3,1000,19.320098
1394.85,1000,25.500806
972.65,1000,31.753121
2286.65,1000,38.034869
1560.75,1000,44.335859
1632.2,1000,50.626601
1821.8,1000,56.886568
2766.3,1000,63.120334
2192.65,1000,69.310491
3538.3,1000,75.4739
2855.2,1000,81.558107
2185.35,1000,87.640314
1746.4,1000,93.71539
-373.2,1000,99.80813
-561.45,1000,105.824157
-688.25,1000,111.779973
-578.5,1000,117.602623
-390.6,1000,123.445071
-584.5,1000,129.166059
-531.9,1000,134.895674
-400.15,1000,140.594733
-233.8,1000,146.314945
-148.05,1000,151.950011
-104.5,1000,157.683212
-318.75,1000,163.273374
-192.45,1000,168.938066
-291.45,1000,174.632695
-199.4,1000,180.333977
-440.8,1000,185.864871
179.2,1000,191.384428
-430.2,1000,196.985731
-272.1,1000,202.560357
-201.2,1000,208.08747
109.95,1000,213.624301
31.65,1000,219.250517
-61.95,1000,224.855329
13.85,1000,230.530768
50.45,1000,236.086462
79.0,1000,241.746413
484.15,1000,247.283149
534.8,1000,252.865689
-78.3,1000,258.370991
147.55,1000,263.884991
285.85,1000,269.339455
117.55,1000,274.861321
221.6,1000,280.371036
476.95,1000,285.9139
111.5,1000,291.417151
489.85,1000,296.905463
673.4,1000,302.29798
340.8,1000,307.617984
603.8,1000,312.943189
524.5,1000,318.228197
229.5,1000,323.530445
420.45,1000,328.81074
331.45,1000,334.233523
224.35,1000,339.627244
321.75,1000,345.073837
425.4,1000,350.468018
540.3,1000,355.928047
4892.75,1000,361.330771
6303.1,1000,367.006506
5987.95,1000,372.68214
5715.85,1000,378.441957
6259.15,1000,384.15503
5607.95,1000,389.966402
5877.25,1000,395.736026
1114.45,1000,401.539593
145.2,1000,407.34409
220.75,1000,413.215932
-69.9,1000,419.11357
35.1,1000,424.870693
322.7,1000,430.576696
306.0,1000,436.296223
228.35,1000,442.045317
374.1,1000,447.757484
525.45,1000,453.586031
140.1,1000,459.592196
240.15,1000,465.596867
230.25,1000,471.564235
35.1,1000,477.595386
20.65,1000,483.617473
335.25,1000,489.562729
331.45,1000,495.583934
220.35,1000,501.519137
615.6,1000,507.536345
534.4,1000,513.554389
109.45,1000,519.576854
440.25,1000,525.564538
430.35,1000,531.441193
321.55,1000,537.274444
525.45,1000,543.006452
425.4,1000,548.630311
235.2,1000,554.271238
220.35,1000,559.868074
525.45,1000,565.409669
425.4,1000,570.918686
419.9,1000,576.598556
630.45,1000,582.277637
525.45,1000,587.885138
329.35,1000,593.429597
440.25,1000,599.002001
523.55,1000,604.546824
220.35,1000,610.007607
535.35,1000,615.470883
635.4,1000,620.912571
635.4,1000,626.362234
535.35,1000,631.823147
430.35,1000,637.260204
325.35,1000,642.683354
325.35,1000,648.023835
530.4,1000,653.394392
435.3,1000,658.76538
166.7,1000,664.015384
220.35,1000,669.23969
2939.85,1000,674.555386
5981.2,1000,679.889399
6239.0,1000,685.271501
5346.25,1000,690.722071
1124.85,1000,696.418594
340.35,1000,702.111493
102.2,1000,707.882151
437.55,1000,713.674735
329.35,1000,719.493186
138.65,1000,725.13523
725.55,1000,730.86099
516.9,1000,736.504153
420.45,1000,742.169498
228.55,1000,747.724431
225.5,1000,753.335329
433.4,1000,758.984831
428.65,1000,764.596333
625.5,1000,770.185589
535.35,1000,775.78487
225.3,1000,781.365295
585.45,1000,786.851502
322.5,1000,792.352425
230.25,1000,797.83677
630.45,1000,803.347356
630.45,1000,808.80122
435.3,1000,814.348478
535.35,1000,819.870011
420.65,1000,825.386137
634.65,1000,830.865852
487.5,1000,836.372102
135.15,1000,841.794669
490.35,1000,847.233683
335.25,1000,852.626399
275.4,1000,858.001397
315.45,1000,863.293375
225.3,1000,868.611558
225.3,1000,873.903325
635.4,1000,879.265855
324.6,1000,884.531012
140.1,1000,890.004313
