#{"t_start": 1761619260.1220293, "env_id": "None"}
r,l,t
1115.7,1000,7.04812
1509.25,1000,13.154599
1498.0,1000,19.318572
1307.4,1000,25.498279
709.5,1000,31.751098
1893.5,1000,38.032838
1344.25,1000,44.333827
997.2,1000,50.624568
2681.4,1000,56.883528
2597.85,1000,63.117807
2772.35,1000,69.307962
3090.35,1000,75.472872
2535.15,1000,81.556083
3524.55,1000,87.637793
2548.05,1000,93.713366
3150.95,1000,99.806098
699.5,1000,105.82213
136.65,1000,111.778972
-663.3,1000,117.600601
-236.7,1000,123.442542
-662.8,1000,129.16403
-571.9,1000,134.893643
-518.8,1000,140.5927
-533.75,1000,146.31292
-753.0,1000,151.946979
-100.5,1000,157.680189
-107.1,1000,163.271347
-186.65,1000,168.936034
16.7,1000,174.630666
-474.35,1000,180.330945
-78.1,1000,185.862841
-40.05,1000,191.382404
8.75,1000,196.983698
-206.1,1000,202.558333
257.4,1000,208.084446
4.0,1000,213.621269
-256.0,1000,219.248995
388.1,1000,224.852298
364.65,1000,230.528241
-5.2,1000,236.084431
-7.5,1000,241.744383
306.3,1000,247.281125
181.45,1000,252.863657
392.6,1000,258.367959
577.25,1000,263.88296
383.2,1000,269.337939
426.65,1000,274.85948
284.55,1000,280.368496
17.9,1000,285.911866
178.7,1000,291.41512
246.15,1000,296.903429
495.95,1000,302.294948
164.0,1000,307.615952
364.35,1000,312.941162
429.4,1000,318.226165
230.25,1000,323.527916
525.45,1000,328.808224
335.25,1000,334.231495
835.5,1000,339.625212
335.25,1000,345.070806
635.4,1000,350.464986
324.4,1000,355.926016
425.4,1000,361.329249
515.55,1000,367.004476
6039.05,1000,372.679613
6017.05,1000,378.43943
6349.2,1000,384.151999
6307.65,1000,389.964371
6216.25,1000,395.733994
6386.25,1000,401.536563
6130.6,1000,407.341066
927.2,1000,413.213913
359.5,1000,419.111541
277.65,1000,424.869181
130.2,1000,430.574673
314.9,1000,436.29319
525.45,1000,442.042287
125.25,1000,447.755453
225.3,1000,453.583001
130.2,1000,459.589668
433.4,1000,465.594836
185.25,1000,471.562211
130.2,1000,477.592355
620.55,1000,483.614441
35.1,1000,489.561533
626.85,1000,495.580908
25.2,1000,501.517105
430.35,1000,507.534314
230.25,1000,513.552361
315.45,1000,519.574823
435.3,1000,525.562507
335.25,1000,531.438162
526.6,1000,537.272417
335.25,1000,543.004421
122.4,1000,548.628289
330.3,1000,554.26871
511.4,1000,559.866042
435.3,1000,565.406646
530.4,1000,570.916654
535.35,1000,576.595533
429.4,1000,582.274605
284.35,1000,587.883109
332.6,1000,593.426564
334.3,1000,598.999474
510.6,1000,604.543805
425.4,1000,610.005575
135.15,1000,615.468361
530.4,1000,620.910567
490.35,1000,626.359559
430.35,1000,631.821116
515.55,1000,637.258181
497.9,1000,642.681321
375.45,1000,648.020812
320.4,1000,653.39187
335.25,1000,658.763356
330.3,1000,664.013353
235.2,1000,669.238179
435.3,1000,674.553354
420.45,1000,679.887375
5308.9,1000,685.269978
5350.2,1000,690.720378
1126.85,1000,696.416563
390.05,1000,702.110722
601.75,1000,707.880124
445.35,1000,713.673706
220.35,1000,719.491367
30.15,1000,725.133199
230.25,1000,730.859467
527.75,1000,736.502123
597.2,1000,742.166467
320.4,1000,747.721401
535.35,1000,753.333297
322.9,1000,758.9838
425.4,1000,764.594301
535.35,1000,770.183558
334.3,1000,775.782842
429.4,1000,781.362764
430.35,1000,786.848983
312.8,1000,792.3499
628.95,1000,797.834746
334.3,1000,803.345326
307.3,1000,808.798694
423.7,1000,814.345455
535.35,1000,819.86698
440.25,1000,825.383106
489.4,1000,830.863822
316.6,1000,836.370074
417.25,1000,841.792639
215.6,1000,847.231651
215.4,1000,852.624368
530.4,1000,857.998869
519.55,1000,863.290343
421.8,1000,868.608534
640.35,1000,873.901293
635.4,1000,879.263824
435.3,1000,884.528491
140.1,1000,890.001281
