#{"t_start": 1761619260.1250305, "env_id": "None"}
r,l,t
1540.95,1000,7.046625
1393.9,1000,13.152598
1178.65,1000,19.317575
1054.45,1000,25.497287
734.2,1000,31.750094
1541.25,1000,38.03085
1938.75,1000,44.332818
2343.7,1000,50.623567
2705.0,1000,56.882535
1677.6,1000,63.11681
606.65,1000,69.307964
708.5,1000,75.470872
-150.3,1000,81.554074
-646.55,1000,87.6368
-812.8,1000,93.712357
-714.1,1000,99.805098
-816.45,1000,105.821129
-560.7,1000,111.777965
-373.65,1000,117.5986
-831.3,1000,123.441543
-417.3,1000,129.163028
-742.4,1000,134.892641
-689.5,1000,140.5917
-236.1,1000,146.310919
-403.2,1000,151.946484
-591.7,1000,157.679186
-464.5,1000,163.269345
-313.9,1000,168.934033
-182.15,1000,174.629667
4757.75,1000,180.329944
4880.4,1000,185.86184
4501.05,1000,191.380403
5246.8,1000,196.982697
5321.55,1000,202.556441
5355.2,1000,208.083439
4419.7,1000,213.620267
5478.85,1000,219.247993
410.15,1000,224.851296
-177.35,1000,230.527244
-88.95,1000,236.082437
-47.35,1000,241.743382
9.1,1000,247.280117
-242.7,1000,252.862656
57.05,1000,258.367163
57.2,1000,263.880958
10.6,1000,269.336942
109.55,1000,274.858486
330.4,1000,280.367505
-216.95,1000,285.910866
465.1,1000,291.414117
391.95,1000,296.901428
325.85,1000,302.293948
475.95,1000,307.61395
417.8,1000,312.93916
223.4,1000,318.224164
535.35,1000,323.526917
335.25,1000,328.807737
130.4,1000,334.229494
528.5,1000,339.623211
130.2,1000,345.069306
228.35,1000,350.463985
424.45,1000,355.924016
540.3,1000,361.328253
335.25,1000,367.002475
393.5,1000,372.677614
340.2,1000,378.438436
284.55,1000,384.150997
330.3,1000,389.963369
535.55,1000,395.731993
115.75,1000,401.536078
427.7,1000,407.340057
-57.1,1000,413.2129
400.7,1000,419.110539
440.25,1000,424.868183
349.05,1000,430.572671
593.75,1000,436.29219
503.4,1000,442.041284
294.0,1000,447.753451
674.65,1000,453.582007
127.55,1000,459.587667
530.4,1000,465.593834
523.0,1000,471.560203
320.4,1000,477.591361
635.4,1000,483.613448
425.6,1000,489.560044
6022.2,1000,495.579906
6363.55,1000,501.515607
6394.05,1000,507.53332
1076.65,1000,513.55136
171.55,1000,519.573824
340.2,1000,525.561506
460.35,1000,531.437614
140.1,1000,537.271415
330.3,1000,543.002923
529.4,1000,548.626792
225.3,1000,554.267713
225.3,1000,559.864041
-80.55,1000,565.406165
256.2,1000,570.915157
230.25,1000,576.595028
330.3,1000,582.273603
225.3,1000,587.881107
530.4,1000,593.425067
635.4,1000,598.998472
435.3,1000,604.542791
317.55,1000,610.003581
630.45,1000,615.466367
440.25,1000,620.909566
330.3,1000,626.358558
-80.95,1000,631.819114
225.3,1000,637.256685
530.4,1000,642.679319
120.3,1000,648.01981
534.4,1000,653.389869
435.3,1000,658.761348
530.4,1000,664.011351
330.3,1000,669.236186
230.25,1000,674.552352
440.25,1000,679.885869
238.25,1000,685.267981
416.1,1000,690.71838
425.8,1000,696.415066
223.6,1000,702.109729
435.3,1000,707.879126
435.3,1000,713.671704
424.45,1000,719.490355
425.4,1000,725.131198
317.75,1000,730.85847
520.5,1000,736.501132
431.5,1000,742.165468
383.95,1000,747.720399
318.5,1000,753.331296
435.3,1000,758.982799
524.5,1000,764.592308
515.55,1000,770.182565
425.4,1000,775.781837
6191.55,1000,781.361763
6093.2,1000,786.847983
1007.25,1000,792.348901
360.6,1000,797.833744
330.3,1000,803.344323
335.4,1000,808.7977
535.35,1000,814.344453
637.5,1000,819.866488
520.5,1000,825.382112
620.55,1000,830.86282
435.3,1000,836.367945
335.45,1000,841.790636
225.3,1000,847.22965
119.55,1000,852.623368
630.45,1000,857.997868
330.3,1000,863.289346
530.4,1000,868.607625
225.3,1000,873.9003
435.3,1000,879.261823
529.85,1000,884.527504
240.15,1000,890.000282
