#{"t_start": 1761619260.119986, "env_id": "None"}
r,l,t
1612.05,1000,7.048173
1289.7,1000,13.154642
1421.0,1000,19.319111
2089.3,1000,25.498818
1770.65,1000,31.752135
2357.15,1000,38.032881
2007.25,1000,44.33487
1558.45,1000,50.624612
1146.9,1000,56.884579
2082.85,1000,63.118346
2497.1,1000,69.308503
2599.65,1000,75.472917
2583.3,1000,81.556119
1024.45,1000,87.638326
-73.75,1000,93.714409
-677.9,1000,99.807149
-675.4,1000,105.823174
-587.5,1000,111.778984
-1081.0,1000,117.60164
-423.15,1000,123.443083
-653.55,1000,129.164071
-580.95,1000,134.894686
-483.05,1000,140.592745
-369.4,1000,146.312956
-474.3,1000,151.948023
-344.55,1000,157.681223
-497.4,1000,163.27239
-181.8,1000,168.936078
-489.55,1000,174.631712
-316.9,1000,180.331989
-63.0,1000,185.863885
-102.7,1000,191.38344
141.35,1000,196.984742
84.05,1000,202.559368
54.95,1000,208.085481
-171.4,1000,213.622313
-216.75,1000,219.250033
40.3,1000,224.853341
-149.3,1000,230.52878
266.65,1000,236.085482
5489.0,1000,241.745427
5711.0,1000,247.282161
5998.5,1000,252.864701
5632.25,1000,258.370002
5850.9,1000,263.883003
5946.4,1000,269.338475
5007.65,1000,274.860333
5466.7,1000,280.369047
984.15,1000,285.91291
212.35,1000,291.416163
485.2,1000,296.903475
435.3,1000,302.295991
-81.7,1000,307.616995
361.2,1000,312.942205
319.45,1000,318.227209
240.15,1000,323.528457
415.5,1000,328.808752
129.25,1000,334.232539
-9.9,1000,339.626256
240.15,1000,345.071849
325.55,1000,350.46603
227.4,1000,355.927059
335.25,1000,361.330287
535.35,1000,367.00552
30.15,1000,372.680654
215.4,1000,378.440471
125.25,1000,384.153042
95.25,1000,389.965414
740.4,1000,395.735038
130.2,1000,401.538606
709.95,1000,407.342101
730.5,1000,413.214943
30.15,1000,419.112584
211.25,1000,424.870215
507.6,1000,430.575716
620.0,1000,436.294235
313.95,1000,442.043329
201.55,1000,447.756503
412.1,1000,453.584043
729.55,1000,459.59071
421.8,1000,465.59588
103.4,1000,471.562247
513.3,1000,477.593398
530.4,1000,483.615485
530.6,1000,489.560741
502.85,1000,495.581946
531.55,1000,501.517148
237.3,1000,507.535356
325.35,1000,513.553404
15.3,1000,519.575875
540.3,1000,525.563551
229.3,1000,531.439205
523.75,1000,537.273461
435.3,1000,543.005465
409.8,1000,548.629331
435.3,1000,554.26925
6335.05,1000,559.867086
6189.6,1000,565.408689
943.35,1000,570.917698
375.45,1000,576.596568
325.35,1000,582.275649
145.2,1000,587.884157
234.25,1000,593.427608
30.15,1000,599.000514
325.35,1000,604.544836
135.15,1000,610.006626
430.35,1000,615.468895
330.3,1000,620.911609
90.3,1000,626.360245
630.45,1000,631.822168
30.15,1000,637.259223
430.55,1000,642.682365
625.5,1000,648.021847
334.3,1000,653.392908
125.25,1000,658.764393
335.25,1000,664.014403
430.35,1000,669.23871
330.3,1000,674.554398
30.15,1000,679.888419
419.5,1000,685.271017
625.5,1000,690.720083
335.25,1000,696.417606
429.6,1000,702.111763
534.4,1000,707.881168
415.9,1000,713.673748
425.4,1000,719.492198
635.4,1000,725.134251
225.3,1000,730.860506
116.9,1000,736.503167
224.35,1000,742.16751
180.0,1000,747.722443
432.45,1000,753.333341
410.55,1000,758.983845
512.7,1000,764.594345
540.3,1000,770.184601
220.35,1000,775.783883
520.5,1000,781.363307
229.3,1000,786.850522
319.45,1000,792.35094
620.55,1000,797.835789
530.4,1000,803.345368
530.4,1000,808.800233
187.35,1000,814.34649
335.25,1000,819.869024
675.6,1000,825.384149
30.15,1000,830.864865
5952.7,1000,836.370114
6294.6,1000,841.792681
681.1,1000,847.231694
574.75,1000,852.625411
235.4,1000,858.000409
315.45,1000,863.291387
535.35,1000,868.60957
230.25,1000,873.902337
325.35,1000,879.264867
340.2,1000,884.529024
40.05,1000,890.002324
