#{"t_start": 1761619260.1360385, "env_id": "None"}
r,l,t
1369.0,1000,7.042624
1856.1,1000,13.148723
1247.9,1000,19.312567
1730.3,1000,25.49328
20.95,1000,31.74515
-1012.8,1000,38.027345
770.95,1000,44.328035
-595.3,1000,50.619069
-821.85,1000,56.879037
1209.55,1000,63.112803
2542.75,1000,69.302956
3445.0,1000,75.467371
3000.55,1000,81.54917
3537.85,1000,87.63179
3392.4,1000,93.707855
3963.35,1000,99.800599
3829.85,1000,105.816629
2844.95,1000,111.772954
3112.2,1000,117.595101
1313.9,1000,123.437056
-205.75,1000,129.158539
-274.8,1000,134.888146
-667.25,1000,140.588532
-61.7,1000,146.30696
-630.95,1000,151.941482
-491.95,1000,157.674677
-652.9,1000,163.265048
-584.4,1000,168.929536
-171.9,1000,174.62418
-285.85,1000,180.325018
-84.8,1000,185.857257
-18.55,1000,191.375897
-132.8,1000,196.978204
7.65,1000,202.55144
4.45,1000,208.078943
-414.65,1000,213.614763
103.0,1000,219.241991
309.2,1000,224.846798
-420.2,1000,230.522236
236.3,1000,236.077934
-7.35,1000,241.737879
-27.55,1000,247.274613
-149.15,1000,252.857157
29.4,1000,258.363153
248.0,1000,263.875459
280.15,1000,269.331944
352.8,1000,274.852478
81.5,1000,280.362489
401.9,1000,285.905365
115.0,1000,291.409616
439.6,1000,296.89693
574.3,1000,302.288451
513.65,1000,307.61045
598.3,1000,312.934656
429.4,1000,318.220202
530.4,1000,323.521914
530.4,1000,328.804237
330.3,1000,334.22399
739.45,1000,339.618709
525.45,1000,345.065808
219.4,1000,350.459131
215.4,1000,355.919523
335.25,1000,361.323243
340.2,1000,366.997971
520.9,1000,372.674617
540.3,1000,378.433421
425.4,1000,384.146069
5051.55,1000,389.957867
6232.15,1000,395.729497
6486.0,1000,401.531077
6174.45,1000,407.334056
6272.6,1000,413.207919
6308.55,1000,419.105039
833.1,1000,424.863181
355.5,1000,430.568188
530.55,1000,436.286693
419.7,1000,442.03578
235.2,1000,447.749967
560.4,1000,453.577192
115.35,1000,459.58266
30.15,1000,465.588339
129.25,1000,471.55544
335.25,1000,477.587859
125.25,1000,483.607952
430.35,1000,489.555532
418.0,1000,495.574401
630.45,1000,501.510608
307.1,1000,507.528815
236.35,1000,513.545859
530.4,1000,519.56983
519.95,1000,525.557019
420.45,1000,531.432606
323.65,1000,537.266915
340.2,1000,542.997443
418.95,1000,548.621785
423.5,1000,554.262704
575.55,1000,559.859541
535.35,1000,565.401158
512.35,1000,570.909661
340.2,1000,576.589543
418.55,1000,582.269108
335.25,1000,587.87661
620.95,1000,593.42107
234.25,1000,598.992472
524.5,1000,604.538294
215.4,1000,610.001091
635.4,1000,615.46136
530.4,1000,620.904062
730.5,1000,626.353553
135.15,1000,631.814108
530.4,1000,637.252678
230.25,1000,642.675333
115.35,1000,648.014306
130.2,1000,653.384364
530.4,1000,658.756587
231.4,1000,664.006867
540.3,1000,669.23119
330.3,1000,674.547675
520.5,1000,679.880863
335.25,1000,685.262973
515.55,1000,690.714392
6065.9,1000,696.411062
6062.8,1000,702.104214
472.9,1000,707.874636
556.95,1000,713.66721
380.4,1000,719.484851
425.4,1000,725.126452
597.2,1000,730.853462
340.2,1000,736.497127
225.3,1000,742.15997
407.9,1000,747.715899
730.5,1000,753.326394
21.6,1000,758.977304
530.4,1000,764.587797
530.4,1000,770.179068
230.25,1000,775.77634
324.4,1000,781.356272
634.45,1000,786.842977
430.75,1000,792.345402
435.3,1000,797.829255
620.55,1000,803.339824
325.35,1000,808.792691
533.65,1000,814.33964
335.25,1000,819.861993
415.5,1000,825.376614
635.4,1000,830.85832
335.25,1000,836.362946
218.65,1000,841.786139
415.5,1000,847.224146
220.35,1000,852.617954
220.35,1000,857.992375
490.35,1000,863.284338
535.35,1000,868.602618
325.35,1000,873.894291
535.35,1000,879.257327
328.6,1000,884.522495
-60.0,1000,889.994776
