#{"t_start": 1761619260.1457691, "env_id": "None"}
r,l,t
1108.45,1000,7.038422
357.45,1000,13.146508
983.6,1000,19.309349
254.2,1000,25.489061
2197.8,1000,31.742418
1210.25,1000,38.023124
2437.15,1000,44.325376
1086.2,1000,50.614841
1932.1,1000,56.875519
539.0,1000,63.108583
769.4,1000,69.298736
-141.25,1000,75.46264
-510.55,1000,81.54561
-705.25,1000,87.628573
-729.55,1000,93.704133
-422.05,1000,99.796377
-584.25,1000,105.814409
-936.3,1000,111.76974
-445.95,1000,117.59137
-459.65,1000,123.434331
-740.45,1000,129.154312
-552.8,1000,134.884415
-248.5,1000,140.588309
4355.9,1000,146.303013
5053.2,1000,151.938272
4219.2,1000,157.670955
4255.95,1000,163.264319
3881.25,1000,168.925313
4062.4,1000,174.621454
1203.5,1000,180.320797
-346.25,1000,185.852527
51.55,1000,191.371167
-219.9,1000,196.974474
-97.4,1000,202.547235
-177.95,1000,208.074716
-131.5,1000,213.610035
46.45,1000,219.237956
390.8,1000,224.842068
89.35,1000,230.517547
-249.55,1000,236.072711
187.05,1000,241.733148
176.6,1000,247.270885
230.65,1000,252.85243
366.3,1000,258.35993
237.7,1000,263.871733
235.05,1000,269.326713
223.5,1000,274.848272
101.55,1000,280.358265
168.6,1000,285.901639
405.9,1000,291.405394
168.2,1000,296.892206
397.8,1000,302.284223
510.6,1000,307.606228
200.55,1000,312.929933
415.15,1000,318.215811
122.4,1000,323.517696
415.5,1000,328.799515
735.45,1000,334.220269
35.1,1000,339.614484
532.5,1000,345.061077
724.8,1000,350.454566
321.55,1000,355.914303
184.65,1000,361.318734
535.35,1000,366.99324
623.25,1000,372.669894
430.35,1000,378.429204
428.65,1000,384.141339
625.5,1000,389.953136
330.3,1000,395.72427
619.6,1000,401.526414
316.05,1000,407.330462
65.95,1000,413.204686
126.4,1000,419.102817
635.4,1000,424.858953
500.2,1000,430.563452
111.0,1000,436.283051
327.45,1000,442.03205
5244.3,1000,447.745733
6339.3,1000,453.572461
5869.95,1000,459.579435
5971.05,1000,465.584608
6187.3,1000,471.552709
6311.35,1000,477.583127
832.35,1000,483.605723
355.5,1000,489.550313
833.95,1000,495.570676
626.0,1000,501.506386
440.4,1000,507.523084
-74.85,1000,513.542132
281.85,1000,519.565609
535.35,1000,525.55229
135.15,1000,531.428389
440.25,1000,537.262184
321.55,1000,542.992718
517.85,1000,548.61757
334.3,1000,554.25848
630.45,1000,559.855319
319.45,1000,565.396939
630.45,1000,570.905459
627.6,1000,576.58532
424.65,1000,582.264378
520.5,1000,587.871879
540.3,1000,593.416361
420.45,1000,598.989249
625.5,1000,604.534507
518.6,1000,609.996457
735.45,1000,615.458321
530.4,1000,620.900341
635.4,1000,626.349336
330.3,1000,631.810212
430.35,1000,637.248454
429.4,1000,642.670602
464.65,1000,648.009584
420.45,1000,653.380643
440.25,1000,658.751864
339.25,1000,664.002133
435.3,1000,669.226955
535.35,1000,674.542945
435.3,1000,679.876642
525.45,1000,685.259751
327.85,1000,690.710666
521.65,1000,696.41085
332.4,1000,702.099486
223.6,1000,707.870908
526.8,1000,713.662479
325.35,1000,719.480128
526.6,1000,725.121722
635.4,1000,730.850773
634.45,1000,736.492398
440.25,1000,742.155745
305.2,1000,747.711168
5760.4,1000,753.322671
5912.2,1000,758.973573
821.65,1000,764.583073
600.75,1000,770.175555
340.35,1000,775.772614
214.65,1000,781.35154
330.3,1000,786.837758
334.3,1000,792.340678
534.4,1000,797.825028
430.35,1000,803.335599
427.5,1000,808.788478
519.55,1000,814.335436
419.5,1000,819.85777
324.4,1000,825.374403
539.35,1000,830.853589
439.3,1000,836.358728
425.4,1000,841.781412
614.65,1000,847.220418
488.95,1000,852.613237
424.45,1000,857.988156
414.55,1000,863.279119
330.3,1000,868.598398
135.15,1000,873.890137
425.4,1000,879.252596
533.45,1000,884.517819
40.05,1000,889.99005
