#{"t_start": 1761619260.1210287, "env_id": "None"}
r,l,t
1088.65,1000,7.04812
1294.35,1000,13.154593
1781.05,1000,19.319069
1650.5,1000,25.497775
1261.7,1000,31.752098
1449.85,1000,38.032839
1332.3,1000,44.334827
-298.7,1000,50.624569
-635.4,1000,56.884529
-544.9,1000,63.118808
2321.35,1000,69.308962
3109.6,1000,75.472873
3180.1,1000,81.556084
2415.85,1000,87.637284
2187.85,1000,93.713366
1779.4,1000,99.806107
-254.85,1000,105.823131
-551.75,1000,111.778941
-618.8,1000,117.600597
-586.0,1000,123.443542
-469.95,1000,129.164037
-519.05,1000,134.893643
-595.0,1000,140.592701
-83.7,1000,146.312921
-336.3,1000,151.947979
-436.65,1000,157.681189
-82.9,1000,163.271347
53.15,1000,168.936035
-271.35,1000,174.63067
-301.9,1000,180.331946
-402.2,1000,185.863842
-203.25,1000,191.382397
28.2,1000,196.984699
19.2,1000,202.558326
-66.25,1000,208.085446
29.5,1000,213.622269
-93.1,1000,219.248991
-284.35,1000,224.853298
-132.75,1000,230.529242
97.5,1000,236.084439
-20.1,1000,241.745384
125.8,1000,247.281118
205.45,1000,252.863658
17.05,1000,258.368959
475.1,1000,263.88296
45.2,1000,269.337432
228.3,1000,274.85929
141.55,1000,280.368993
99.65,1000,285.911867
331.55,1000,291.416121
254.15,1000,296.903422
211.05,1000,302.295949
290.7,1000,307.615953
593.15,1000,312.941162
430.35,1000,318.226166
185.25,1000,323.528916
425.4,1000,328.809224
428.45,1000,334.231496
630.45,1000,339.625213
435.3,1000,345.071806
334.3,1000,350.465987
230.25,1000,355.926017
135.15,1000,361.329245
5655.55,1000,367.004477
6298.75,1000,372.679611
6256.05,1000,378.44043
6184.0,1000,384.152999
6031.3,1000,389.964371
4279.35,1000,395.733995
5948.85,1000,401.537563
5733.2,1000,407.342066
6127.25,1000,413.213901
1287.6,1000,419.112541
639.55,1000,424.870181
635.0,1000,430.574673
265.85,1000,436.294191
520.5,1000,442.043288
129.25,1000,447.755461
525.45,1000,453.584001
224.75,1000,459.589668
35.1,1000,465.594837
225.3,1000,471.562212
315.45,1000,477.593355
240.15,1000,483.615442
534.4,1000,489.561534
131.35,1000,495.581908
197.75,1000,501.517105
325.35,1000,507.534313
324.4,1000,513.552362
235.2,1000,519.574832
234.25,1000,525.563508
240.15,1000,531.439163
309.75,1000,537.273418
635.4,1000,543.005422
434.35,1000,548.628288
535.35,1000,554.269207
308.8,1000,559.866043
430.35,1000,565.407646
435.3,1000,570.916655
575.55,1000,576.596533
229.3,1000,582.275606
420.45,1000,587.883114
722.9,1000,593.427565
530.4,1000,598.999471
435.3,1000,604.544806
610.3,1000,610.005584
412.85,1000,615.467853
235.2,1000,620.911568
325.35,1000,626.36056
430.35,1000,631.821126
615.6,1000,637.25818
418.55,1000,642.681322
635.4,1000,648.021813
235.2,1000,653.391865
430.35,1000,658.76335
340.2,1000,664.013361
514.6,1000,669.237667
435.3,1000,674.554354
275.4,1000,679.888376
525.45,1000,685.269974
5132.95,1000,690.720379
5960.75,1000,696.416564
634.7,1000,702.11072
525.45,1000,707.880125
340.5,1000,713.673705
520.5,1000,719.491156
32.25,1000,725.133208
514.6,1000,730.860468
315.45,1000,736.503124
530.4,1000,742.167467
175.3,1000,747.722401
425.4,1000,753.333298
330.3,1000,758.983801
515.2,1000,764.59431
24.4,1000,770.183559
535.35,1000,775.78284
385.35,1000,781.363261
237.3,1000,786.849984
519.55,1000,792.349897
515.55,1000,797.835747
625.5,1000,803.345326
530.4,1000,808.799695
330.3,1000,814.346456
124.3,1000,819.867981
225.3,1000,825.384106
535.35,1000,830.864822
720.6,1000,836.370073
513.85,1000,841.79264
218.45,1000,847.231652
435.5,1000,852.624368
330.3,1000,857.999869
320.4,1000,863.291344
635.4,1000,868.609535
625.5,1000,873.901294
120.5,1000,879.263825
528.5,1000,884.529491
40.05,1000,890.002282
