#{"t_start": 1761619260.140253, "env_id": "None"}
r,l,t
1513.65,1000,7.040931
1480.85,1000,13.148507
1567.75,1000,19.311861
205.1,1000,25.491573
1643.75,1000,31.744936
898.55,1000,38.026121
78.65,1000,44.32782
1714.65,1000,50.617854
2142.55,1000,56.877828
726.85,1000,63.111096
-5.8,1000,69.30125
-421.25,1000,75.466156
-457.15,1000,81.547955
-373.35,1000,87.631092
-608.8,1000,93.70664
-887.45,1000,99.798384
-676.2,1000,105.816414
-732.25,1000,111.772249
-826.95,1000,117.593886
-966.3,1000,123.436841
-621.15,1000,129.156324
-239.4,1000,134.886924
4306.8,1000,140.588317
4939.0,1000,146.305753
4199.4,1000,151.940777
4533.05,1000,157.673479
4805.25,1000,163.266834
4181.9,1000,168.927322
5165.7,1000,174.623968
4955.8,1000,180.323303
5264.8,1000,185.855042
5355.2,1000,191.374683
4642.9,1000,196.975989
1285.6,1000,202.549736
-218.05,1000,208.077729
-179.15,1000,213.613549
-191.85,1000,219.240963
-77.6,1000,224.844584
-47.8,1000,230.521055
368.1,1000,236.076227
224.85,1000,241.736664
22.55,1000,247.273409
-242.65,1000,252.855946
160.7,1000,258.362445
-5.9,1000,263.874242
213.6,1000,269.330226
-21.15,1000,274.851781
298.05,1000,280.360781
300.9,1000,285.904155
474.4,1000,291.407401
250.15,1000,296.894723
479.4,1000,302.287236
184.75,1000,307.608235
593.9,1000,312.93245
530.4,1000,318.217987
537.45,1000,323.520203
435.3,1000,328.802028
230.25,1000,334.222785
419.7,1000,339.617496
425.4,1000,345.063593
334.3,1000,350.456916
25.2,1000,355.917301
526.8,1000,361.32123
220.55,1000,366.995756
425.4,1000,372.673403
425.4,1000,378.431715
524.7,1000,384.143856
235.2,1000,389.956652
232.35,1000,395.727283
485.4,1000,401.528863
206.3,1000,407.332977
818.0,1000,413.206705
218.85,1000,419.105829
422.0,1000,424.861463
318.5,1000,430.565969
761.0,1000,436.285478
611.45,1000,442.034573
315.85,1000,447.747753
375.45,1000,453.574985
239.2,1000,459.581952
426.75,1000,465.587124
6446.55,1000,471.554225
6450.0,1000,477.586652
6394.45,1000,483.606738
791.2,1000,489.553829
559.6,1000,495.573191
425.4,1000,501.508394
115.35,1000,507.5266
30.15,1000,513.544648
35.1,1000,519.568617
15.9,1000,525.555806
125.25,1000,531.431898
225.3,1000,537.2647
235.2,1000,542.996227
-90.8,1000,548.620079
223.4,1000,554.260994
130.2,1000,559.858326
640.35,1000,565.399944
240.15,1000,570.908446
625.5,1000,576.58832
229.3,1000,582.266894
435.3,1000,587.874396
540.3,1000,593.418856
240.15,1000,598.991764
412.85,1000,604.537521
225.3,1000,609.998885
340.2,1000,615.460649
332.4,1000,620.902857
229.3,1000,626.351846
330.3,1000,631.81373
525.45,1000,637.25197
500.95,1000,642.673118
415.5,1000,648.0131
525.45,1000,653.383158
330.3,1000,658.75438
435.3,1000,664.004648
375.45,1000,669.229968
740.4,1000,674.545461
670.3,1000,679.878649
429.4,1000,685.262267
435.3,1000,690.713181
335.25,1000,696.412362
530.4,1000,702.103002
430.35,1000,707.873425
316.8,1000,713.664995
229.3,1000,719.483644
134.2,1000,725.125237
317.75,1000,730.85329
572.7,1000,736.495914
625.5,1000,742.158757
524.7,1000,747.713684
624.55,1000,753.324179
6211.9,1000,758.976089
6220.4,1000,764.586581
1068.15,1000,770.177853
354.4,1000,775.775129
335.25,1000,781.354056
50.1,1000,786.84127
-45.55,1000,792.344194
535.35,1000,797.827049
335.25,1000,803.338609
305.55,1000,808.790996
338.3,1000,814.337433
340.2,1000,819.860282
330.3,1000,825.375399
422.75,1000,830.856105
125.25,1000,836.361239
330.3,1000,841.784928
420.45,1000,847.223934
329.55,1000,852.615754
239.2,1000,857.990664
221.7,1000,863.282635
230.25,1000,868.60191
425.4,1000,873.892144
230.25,1000,879.255113
132.3,1000,884.520273
140.1,1000,889.993566
