#{"t_start": 1761619260.1380382, "env_id": "None"}
r,l,t
1644.65,1000,7.040625
37.1,1000,13.147723
849.5,1000,19.312071
889.3,1000,25.492784
1839.95,1000,31.74515
2101.75,1000,38.026335
877.85,1000,44.329028
1079.95,1000,50.619069
354.8,1000,56.879043
-393.25,1000,63.112307
2331.55,1000,69.302461
2899.85,1000,75.466371
2593.55,1000,81.54917
3575.3,1000,87.631799
2921.05,1000,93.707855
3456.2,1000,99.800599
3726.25,1000,105.815629
3864.1,1000,111.77246
847.05,1000,117.595101
-399.85,1000,123.437056
-571.5,1000,129.157539
-465.9,1000,134.888138
-411.75,1000,140.588532
-498.9,1000,146.30696
-575.25,1000,151.940482
-536.35,1000,157.674687
-308.05,1000,163.266049
-338.55,1000,168.928537
-137.3,1000,174.624183
-212.15,1000,180.324016
-207.9,1000,185.856258
28.5,1000,191.374897
-220.35,1000,196.977204
-174.95,1000,202.550441
284.55,1000,208.077944
-13.4,1000,213.613764
-128.7,1000,219.241992
47.05,1000,224.845799
56.55,1000,230.522236
106.85,1000,236.077437
193.55,1000,241.737879
79.0,1000,247.274616
176.95,1000,252.856161
-297.2,1000,258.363658
513.6,1000,263.875457
345.55,1000,269.330939
8.55,1000,274.851989
171.55,1000,280.361993
320.85,1000,285.905369
250.15,1000,291.408616
166.05,1000,296.89593
-24.85,1000,302.287451
299.65,1000,307.60945
610.65,1000,312.933661
325.35,1000,318.219201
540.3,1000,323.520913
335.25,1000,328.803243
439.3,1000,334.223995
637.5,1000,339.618711
517.65,1000,345.064808
530.4,1000,350.458139
435.3,1000,355.918523
235.2,1000,361.322251
430.55,1000,366.996971
317.55,1000,372.673618
230.25,1000,378.432926
6093.45,1000,384.14507
6196.05,1000,389.957867
6090.2,1000,395.728498
5879.2,1000,401.53007
5912.1,1000,407.334187
6246.95,1000,413.20792
6382.6,1000,419.106042
716.1,1000,424.862676
270.3,1000,430.567188
315.45,1000,436.286694
160.35,1000,442.035788
238.25,1000,447.748968
410.2,1000,453.5762
14.35,1000,459.583168
25.2,1000,465.588339
230.25,1000,471.55544
130.2,1000,477.586867
125.25,1000,483.606953
430.35,1000,489.554532
540.3,1000,495.574406
440.25,1000,501.509608
15.3,1000,507.527816
-79.8,1000,513.544863
220.35,1000,519.568831
440.25,1000,525.556027
340.2,1000,531.432109
525.45,1000,537.265915
40.05,1000,542.997449
519.95,1000,548.620785
620.55,1000,554.262207
625.5,1000,559.858541
335.25,1000,565.401158
420.45,1000,570.908661
535.35,1000,576.588535
340.2,1000,582.268109
619.6,1000,587.875611
435.3,1000,593.42007
433.6,1000,598.992979
329.55,1000,604.538737
630.65,1000,610.000099
330.3,1000,615.46136
335.25,1000,620.904067
519.55,1000,626.353056
530.4,1000,631.814216
440.25,1000,637.252182
296.3,1000,642.674333
625.5,1000,648.014311
240.15,1000,653.384369
335.25,1000,658.755587
530.4,1000,664.005863
340.2,1000,669.230191
622.85,1000,674.546684
335.25,1000,679.880864
620.2,1000,685.262477
211.05,1000,690.713397
5302.7,1000,696.41207
5626.55,1000,702.103225
1148.95,1000,707.873637
732.6,1000,713.66621
215.4,1000,719.483855
413.6,1000,725.125445
430.35,1000,730.8535
301.8,1000,736.49613
530.4,1000,742.15997
303.85,1000,747.714898
630.45,1000,753.325394
333.55,1000,758.97731
221.4,1000,764.587796
730.5,1000,770.178067
739.45,1000,775.776344
135.35,1000,781.355271
524.5,1000,786.840977
285.3,1000,792.344403
240.15,1000,797.828255
425.4,1000,803.338823
235.2,1000,808.792202
533.45,1000,814.338647
240.15,1000,819.860993
670.65,1000,825.375614
435.3,1000,830.85732
28.75,1000,836.36245
620.55,1000,841.785143
535.35,1000,847.22415
319.65,1000,852.616961
612.0,1000,857.992375
525.45,1000,863.282842
235.2,1000,868.602618
330.3,1000,873.894359
429.4,1000,879.256328
11.15,1000,884.521496
140.1,1000,889.993782
