#{"t_start": 1761619260.1467705, "env_id": "None"}
r,l,t
717.15,1000,7.03842
472.05,1000,13.146508
1740.6,1000,19.309348
1790.15,1000,25.489061
1568.55,1000,31.742417
997.0,1000,38.023121
1882.55,1000,44.32537
2182.5,1000,50.614844
2893.5,1000,56.875518
2401.95,1000,63.108582
2539.4,1000,69.298735
333.8,1000,75.463143
85.7,1000,81.545609
-627.95,1000,87.627571
-806.85,1000,93.703131
-476.5,1000,99.796381
-827.15,1000,105.814416
-709.6,1000,111.769731
-400.45,1000,117.591368
-477.05,1000,123.434489
-423.15,1000,129.154316
-302.75,1000,134.883918
-470.0,1000,140.588307
-370.5,1000,146.302011
-357.05,1000,151.938266
-382.3,1000,157.670954
-466.2,1000,163.263822
-812.1,1000,168.925313
-331.05,1000,174.620452
-32.85,1000,180.319795
4796.4,1000,185.852525
4984.8,1000,191.371166
5247.25,1000,196.973976
5010.1,1000,202.546234
5051.9,1000,208.074718
5492.4,1000,213.610032
5563.85,1000,219.237963
5245.65,1000,224.842067
5437.6,1000,230.517545
448.25,1000,236.073213
-202.9,1000,241.733648
24.55,1000,247.269884
-28.7,1000,252.852429
25.6,1000,258.35993
32.8,1000,263.870732
-126.35,1000,269.327216
-235.0,1000,274.848271
40.8,1000,280.357263
301.2,1000,285.901638
-86.55,1000,291.405392
360.45,1000,296.892199
488.95,1000,302.284225
300.6,1000,307.605227
609.7,1000,312.929931
214.85,1000,318.21481
515.0,1000,323.516695
333.35,1000,328.798514
235.2,1000,334.220266
629.5,1000,339.614487
516.7,1000,345.061075
740.4,1000,350.453565
435.3,1000,355.914308
435.3,1000,361.318732
530.4,1000,366.993239
329.35,1000,372.669893
334.3,1000,378.429202
415.15,1000,384.141337
519.75,1000,389.953638
439.3,1000,395.724273
333.35,1000,401.52642
411.15,1000,407.330458
215.6,1000,413.203684
428.45,1000,419.103319
335.25,1000,424.857952
696.65,1000,430.56345
625.7,1000,436.28205
413.25,1000,442.032048
124.7,1000,447.745732
332.6,1000,453.572459
623.6,1000,459.579434
335.25,1000,465.58411
722.9,1000,471.551707
655.45,1000,477.583628
621.9,1000,483.605722
326.7,1000,489.550313
509.3,1000,495.571675
303.7,1000,501.506384
6179.4,1000,507.523594
6319.2,1000,513.542138
6296.95,1000,519.565607
612.45,1000,525.552288
360.45,1000,531.428388
444.4,1000,537.262182
135.15,1000,542.993221
320.4,1000,548.617576
321.0,1000,554.258478
230.25,1000,559.856318
120.3,1000,565.396937
125.25,1000,570.90546
419.9,1000,576.585318
230.25,1000,582.26481
225.3,1000,587.870878
525.45,1000,593.416359
435.3,1000,598.989248
216.55,1000,604.534508
327.45,1000,609.995455
430.35,1000,615.45732
340.2,1000,620.899339
330.3,1000,626.348334
340.2,1000,631.810211
330.3,1000,637.24846
428.45,1000,642.6706
430.35,1000,648.009583
438.35,1000,653.379641
130.2,1000,658.751857
325.35,1000,664.002131
525.45,1000,669.226962
430.35,1000,674.541944
515.55,1000,679.876644
340.2,1000,685.25875
525.45,1000,690.709665
129.25,1000,696.410848
141.05,1000,702.099492
183.35,1000,707.869907
598.85,1000,713.662478
324.4,1000,719.480127
205.35,1000,725.12172
429.4,1000,730.849772
631.6,1000,736.492397
624.55,1000,742.155744
424.45,1000,747.711167
503.75,1000,753.32167
421.8,1000,758.973571
235.2,1000,764.583584
230.25,1000,770.174553
239.2,1000,775.771612
415.15,1000,781.351548
336.4,1000,786.837757
6062.8,1000,792.340676
6429.3,1000,797.824026
449.3,1000,803.335597
475.65,1000,808.789476
744.55,1000,814.335436
239.2,1000,819.85777
125.25,1000,825.373401
535.35,1000,830.853588
835.5,1000,836.358727
525.45,1000,841.781411
309.55,1000,847.220424
314.9,1000,852.612236
615.6,1000,857.988155
740.4,1000,863.279119
173.25,1000,868.598397
525.45,1000,873.890135
340.2,1000,879.252642
430.55,1000,884.516818
-776.65,1000,889.990049
