#{"t_start": 1761619260.1320808, "env_id": "None"}
r,l,t
-173.15,1000,7.043574
275.15,1000,13.150053
180.55,1000,19.314524
2379.15,1000,25.494237
1612.7,1000,31.747051
1636.3,1000,38.028288
1779.0,1000,44.329985
1050.85,1000,50.621027
2442.25,1000,56.880994
2415.7,1000,63.113761
3167.4,1000,69.304914
2657.0,1000,75.468324
3058.15,1000,81.551127
2415.1,1000,87.633748
3197.05,1000,93.709813
1207.7,1000,99.802563
-116.7,1000,105.818078
-676.5,1000,111.774913
-656.1,1000,117.596549
-715.6,1000,123.439007
-633.35,1000,129.159492
-490.2,1000,134.890096
-777.75,1000,140.590263
-345.85,1000,146.308919
-460.45,1000,151.94344
-201.15,1000,157.676129
-486.15,1000,163.266802
-741.3,1000,168.931495
-283.3,1000,174.626633
-408.85,1000,180.3269
-24.15,1000,185.85779
-261.4,1000,191.377851
30.3,1000,196.979156
-186.05,1000,202.553399
25.7,1000,208.080901
187.95,1000,213.617217
26.3,1000,219.243949
33.55,1000,224.848245
68.15,1000,230.524201
-208.65,1000,236.079891
-65.95,1000,241.739835
-91.8,1000,247.277068
196.5,1000,252.859115
321.95,1000,258.365111
12.4,1000,263.877908
-9.3,1000,269.333896
336.35,1000,274.854428
396.0,1000,280.364447
88.8,1000,285.907816
332.5,1000,291.410573
370.0,1000,296.89788
74.25,1000,302.290408
94.8,1000,307.612408
625.5,1000,312.93611
189.2,1000,318.221166
622.1,1000,323.52287
430.35,1000,328.805692
530.6,1000,334.226444
521.65,1000,339.620667
430.35,1000,345.067259
330.3,1000,350.460089
335.25,1000,355.921473
635.4,1000,361.324202
6022.6,1000,366.999929
5830.15,1000,372.676068
6232.35,1000,378.435379
5868.95,1000,384.147955
6129.45,1000,389.959824
5759.0,1000,395.730454
5928.65,1000,401.532035
5533.95,1000,407.337014
6074.1,1000,413.209869
862.3,1000,419.106488
150.3,1000,424.865139
130.2,1000,430.570138
310.5,1000,436.288643
21.6,1000,442.038234
130.2,1000,447.751918
420.45,1000,453.577956
25.2,1000,459.584616
30.15,1000,465.590293
540.3,1000,471.557197
111.0,1000,477.588809
-79.8,1000,483.609902
135.15,1000,489.556986
285.3,1000,495.576855
530.4,1000,501.512566
620.55,1000,507.530765
627.6,1000,513.54731
135.15,1000,519.570788
330.3,1000,525.55797
315.45,1000,531.434564
526.6,1000,537.268365
330.3,1000,542.9994
395.0,1000,548.623743
216.55,1000,554.264669
398.4,1000,559.861498
630.45,1000,565.403116
320.4,1000,570.911618
435.3,1000,576.591492
335.25,1000,582.270062
425.4,1000,587.878056
240.15,1000,593.423021
430.35,1000,598.995422
324.8,1000,604.540251
225.3,1000,610.001049
375.8,1000,615.463318
435.3,1000,620.906516
630.45,1000,626.355516
835.5,1000,631.816065
535.35,1000,637.253636
215.4,1000,642.676784
435.3,1000,648.01676
220.35,1000,653.386818
130.2,1000,658.758296
440.25,1000,664.008302
840.45,1000,669.233141
340.2,1000,674.54831
635.4,1000,679.882821
534.4,1000,685.264931
6288.7,1000,690.715835
6112.7,1000,696.412019
943.35,1000,702.105678
500.7,1000,707.876075
144.8,1000,713.668158
450.45,1000,719.486305
720.6,1000,725.128155
330.3,1000,730.85442
435.3,1000,736.498082
714.15,1000,742.161928
315.45,1000,747.717349
730.5,1000,753.328246
616.2,1000,758.979257
225.3,1000,764.589753
336.4,1000,770.180025
225.3,1000,775.778292
325.35,1000,781.358222
230.25,1000,786.844934
435.3,1000,792.344851
539.35,1000,797.830214
280.35,1000,803.340781
335.25,1000,808.794657
425.4,1000,814.341597
335.25,1000,819.863442
725.55,1000,825.378566
625.5,1000,830.860276
235.2,1000,836.364904
419.5,1000,841.787588
229.7,1000,847.226599
240.15,1000,852.619403
423.5,1000,857.994338
325.35,1000,863.286296
330.3,1000,868.604576
625.5,1000,873.896249
230.25,1000,879.258276
325.75,1000,884.524446
-60.0,1000,889.996232
