#{"t_start": 1761619260.1270292, "env_id": "None"}
r,l,t
1243.2,1000,7.045634
1524.35,1000,13.151599
553.25,1000,19.316576
2134.1,1000,25.496289
1186.5,1000,31.749095
1925.65,1000,38.030838
1001.35,1000,44.331819
1979.3,1000,50.623073
2280.95,1000,56.881529
2720.6,1000,63.116813
1651.9,1000,69.306967
3116.7,1000,75.470873
2747.95,1000,81.553083
2726.4,1000,87.6358
1156.95,1000,93.71136
-331.4,1000,99.803603
-549.25,1000,105.82013
-660.55,1000,111.776965
-514.15,1000,117.597601
-684.8,1000,123.440545
-354.85,1000,129.162037
-439.85,1000,134.891642
-540.75,1000,140.591165
-337.7,1000,146.310914
-367.95,1000,151.945493
-222.25,1000,157.678188
-535.95,1000,163.268347
-504.05,1000,168.933538
-139.4,1000,174.628668
-37.8,1000,180.328944
-210.35,1000,185.860841
-216.55,1000,191.379404
142.15,1000,196.981699
-55.05,1000,202.555442
25.5,1000,208.082944
-245.8,1000,213.619268
9.75,1000,219.246994
308.85,1000,224.850297
147.6,1000,230.526251
-162.6,1000,236.081434
97.65,1000,241.742382
172.4,1000,247.279119
378.4,1000,252.861657
95.0,1000,258.366162
134.8,1000,263.879959
106.5,1000,269.335944
133.2,1000,274.857487
69.0,1000,280.366499
503.85,1000,285.909867
475.0,1000,291.41362
271.9,1000,296.900429
488.9,1000,302.292949
390.75,1000,307.614458
202.45,1000,312.938162
335.25,1000,318.223165
225.3,1000,323.525936
619.6,1000,328.806744
530.4,1000,334.228495
425.6,1000,339.622212
632.55,1000,345.069309
434.35,1000,350.462994
235.2,1000,355.923524
5497.75,1000,361.327254
6084.35,1000,367.001476
6424.55,1000,372.676615
6047.65,1000,378.43743
6373.75,1000,384.150006
6035.55,1000,389.96237
6170.95,1000,395.730994
6070.6,1000,401.53508
6306.3,1000,407.339065
732.9,1000,413.211901
-84.75,1000,419.10954
-105.45,1000,424.867191
110.4,1000,430.571672
130.35,1000,436.291191
301.8,1000,442.040285
330.3,1000,447.752962
425.4,1000,453.581008
130.2,1000,459.586675
98.65,1000,465.591835
330.3,1000,471.559241
130.2,1000,477.591356
328.4,1000,483.612449
125.25,1000,489.559038
340.2,1000,495.578908
330.3,1000,501.514612
508.9,1000,507.53232
730.5,1000,513.550361
230.25,1000,519.573329
334.3,1000,525.560508
535.35,1000,531.436614
434.35,1000,537.270417
540.3,1000,543.001932
535.35,1000,548.625793
609.9,1000,554.266714
527.95,1000,559.863546
525.45,1000,565.405166
519.55,1000,570.914162
525.45,1000,576.593029
436.45,1000,582.273109
430.35,1000,587.880108
534.4,1000,593.425075
435.3,1000,598.997473
434.35,1000,604.541793
330.3,1000,610.003094
530.4,1000,615.466369
335.25,1000,620.908567
535.35,1000,626.357567
140.1,1000,631.818115
224.35,1000,637.255686
325.35,1000,642.678321
425.4,1000,648.018812
515.55,1000,653.38887
340.2,1000,658.760348
630.45,1000,664.010352
130.2,1000,669.236193
567.95,1000,674.551355
422.0,1000,679.884871
6092.75,1000,685.266983
5941.3,1000,690.718379
1558.15,1000,696.414072
6.2,1000,702.10873
455.4,1000,707.878127
625.15,1000,713.670705
-54.85,1000,719.489357
594.75,1000,725.130199
440.25,1000,730.857471
435.3,1000,736.500627
424.45,1000,742.164977
480.45,1000,747.719401
314.5,1000,753.330297
333.35,1000,758.981802
424.45,1000,764.591308
429.4,1000,770.181566
440.25,1000,775.780838
531.55,1000,781.360764
130.4,1000,786.846984
385.35,1000,792.347909
515.55,1000,797.831746
740.4,1000,803.343324
280.35,1000,808.796702
334.3,1000,814.343455
135.15,1000,819.865489
509.65,1000,825.381106
290.25,1000,830.861821
385.35,1000,836.367955
530.4,1000,841.789637
520.5,1000,847.228651
434.35,1000,852.622368
435.3,1000,857.996877
475.5,1000,863.288348
315.45,1000,868.606628
535.35,1000,873.898302
840.45,1000,879.260824
433.6,1000,884.526498
140.1,1000,889.999283
