#{"t_start": 1761602797.7442663, "env_id": "None"}
r,l,t
762.25,1000,7.011089
1027.3,1000,13.165025
1555.2,1000,19.361447
1270.45,1000,25.479829
1731.4,1000,31.665936
2303.0,1000,37.868172
2016.3,1000,44.079474
1438.1,1000,50.262262
1463.95,1000,56.500893
2382.65,1000,62.693638
2664.1,1000,68.95238
2840.45,1000,75.172951
2505.85,1000,81.470944
1323.45,1000,87.647039
-257.25,1000,93.687556
-580.8,1000,99.639656
-701.35,1000,105.571146
-131.15,1000,111.439618
-455.9,1000,117.259501
-779.7,1000,123.094274
-396.25,1000,128.745445
-379.95,1000,134.393744
-405.95,1000,139.844101
-516.35,1000,145.331439
-262.65,1000,150.623333
-437.45,1000,155.968657
-167.2,1000,161.240142
-665.2,1000,166.517094
-193.35,1000,171.718439
-140.25,1000,176.917381
-452.55,1000,182.058091
-243.6,1000,187.31515
-464.2,1000,192.495352
64.2,1000,197.777122
-181.45,1000,203.022913
-350.65,1000,208.202514
198.15,1000,213.329357
-55.5,1000,218.509524
30.05,1000,223.670028
1.25,1000,228.868333
-157.35,1000,234.153531
345.2,1000,239.639159
-274.35,1000,245.08328
307.3,1000,250.672977
351.45,1000,256.351252
279.9,1000,262.04951
289.9,1000,267.82865
5976.25,1000,273.75929
5538.95,1000,279.661235
6367.05,1000,285.617508
5324.8,1000,291.515125
6124.25,1000,297.473449
6423.15,1000,303.397856
6589.35,1000,309.29466
5752.15,1000,315.223359
405.2,1000,321.08543
265.5,1000,326.89846
446.2,1000,332.561076
182.0,1000,338.264566
89.35,1000,343.951672
230.4,1000,349.693715
-69.9,1000,355.354386
220.35,1000,361.109651
234.25,1000,366.919056
435.3,1000,372.758085
35.1,1000,378.740978
120.3,1000,384.593253
235.2,1000,390.526361
130.2,1000,396.352225
-5.75,1000,402.259649
425.4,1000,408.15379
30.15,1000,414.065682
28.25,1000,419.975762
35.1,1000,425.835179
325.35,1000,431.703701
635.4,1000,437.477198
125.25,1000,443.255358
325.35,1000,448.906234
330.3,1000,454.383434
-74.85,1000,459.989092
440.25,1000,465.604907
235.2,1000,471.056093
335.25,1000,476.485587
635.4,1000,482.07305
240.15,1000,487.704126
325.35,1000,493.282551
525.45,1000,498.886314
230.25,1000,504.459077
467.15,1000,509.836204
229.3,1000,515.211263
420.45,1000,520.623328
428.45,1000,526.018264
220.75,1000,531.401461
70.35,1000,536.781141
440.25,1000,542.11719
624.55,1000,547.525331
330.3,1000,552.945753
439.3,1000,558.437585
329.35,1000,563.925078
323.65,1000,569.425212
435.3,1000,574.963805
620.0,1000,580.585923
585.95,1000,586.257035
6104.4,1000,592.02917
5077.5,1000,597.832455
1460.1,1000,603.798091
650.55,1000,609.633097
240.45,1000,615.483204
440.25,1000,621.268589
253.9,1000,626.923055
830.55,1000,632.541402
321.2,1000,638.118659
520.5,1000,643.718791
275.4,1000,649.254948
225.3,1000,654.776169
639.4,1000,660.212012
330.3,1000,665.591677
225.3,1000,670.841237
530.4,1000,676.25955
529.45,1000,681.653275
425.8,1000,686.892152
230.25,1000,692.071329
635.4,1000,697.338626
541.55,1000,702.597021
335.25,1000,707.914523
405.6,1000,713.192801
225.3,1000,718.619376
508.55,1000,723.976293
435.3,1000,729.365638
339.25,1000,734.702721
935.55,1000,740.06138
530.4,1000,745.347398
435.3,1000,750.672115
531.55,1000,755.960346
329.35,1000,761.28336
225.3,1000,766.551325
429.4,1000,771.739062
428.45,1000,776.974248
430.35,1000,782.221187
528.5,1000,787.468509
-3.85,1000,792.765383
330.3,1000,798.041942
618.1,1000,803.342743
534.4,1000,808.532179
220.35,1000,813.630571
435.3,1000,818.725597
519.55,1000,823.987298
130.2,1000,829.18347
78.55,1000,834.479445
522.8,1000,839.943229
323.45,1000,845.603256
518.8,1000,851.256087
327.45,1000,857.1257
6509.75,1000,862.937388
6664.6,1000,868.862683
5891.9,1000,874.699787
70.2,1000,881.266298
