#{"t_start": 1761602797.7537801, "env_id": "None"}
r,l,t
1260.1,1000,7.007578
1046.1,1000,13.161519
1843.55,1000,19.357942
1330.25,1000,25.476825
1959.25,1000,31.661925
1869.75,1000,37.864172
1932.8,1000,44.076484
2039.5,1000,50.257756
1766.9,1000,56.497393
3225.25,1000,62.690125
3140.2,1000,68.94887
2679.35,1000,75.168445
2640.15,1000,81.466949
995.8,1000,87.643631
66.3,1000,93.684552
-556.6,1000,99.636231
-538.35,1000,105.567145
-505.95,1000,111.437614
-544.55,1000,117.256497
-362.55,1000,123.090748
-364.5,1000,128.741456
-405.95,1000,134.390229
-175.05,1000,139.84264
-250.0,1000,145.32693
-202.25,1000,150.618805
-477.75,1000,155.96366
-228.2,1000,161.23615
-281.5,1000,166.511581
-247.45,1000,171.714989
-332.0,1000,176.913393
-655.5,1000,182.052744
-362.9,1000,187.310636
143.9,1000,192.490838
-83.3,1000,197.773111
-85.6,1000,203.018403
0.8,1000,208.198999
-142.65,1000,213.324929
55.7,1000,218.505537
71.7,1000,223.665027
48.7,1000,228.864328
-48.3,1000,234.149017
173.25,1000,239.634155
170.3,1000,245.078778
44.95,1000,250.66847
95.15,1000,256.347743
143.0,1000,262.045514
56.65,1000,267.823643
6053.3,1000,273.755288
5909.5,1000,279.657731
6314.7,1000,285.613513
6217.4,1000,291.511602
5786.65,1000,297.468936
6172.1,1000,303.394399
6229.5,1000,309.290146
886.95,1000,315.219848
140.4,1000,321.081415
440.25,1000,326.894958
58.6,1000,332.556565
135.15,1000,338.261843
330.3,1000,343.947165
-82.65,1000,349.689203
20.25,1000,355.349871
-29.7,1000,361.105645
320.4,1000,366.915587
159.3,1000,372.754077
130.2,1000,378.737468
30.15,1000,384.590744
10.35,1000,390.521847
80.25,1000,396.347711
230.25,1000,402.254644
634.45,1000,408.149276
430.35,1000,414.061687
230.25,1000,419.971752
335.25,1000,425.831665
432.45,1000,431.699187
535.35,1000,437.474191
234.25,1000,443.250852
25.2,1000,448.901719
435.3,1000,454.378909
65.4,1000,459.986097
240.15,1000,465.600393
135.15,1000,471.05157
364.8,1000,476.482582
301.4,1000,482.068536
135.15,1000,487.699613
515.55,1000,493.278041
130.2,1000,498.882303
219.4,1000,504.454672
535.35,1000,509.832712
327.4,1000,515.207752
623.8,1000,520.618818
568.15,1000,526.013259
212.75,1000,531.396953
330.3,1000,536.776637
340.2,1000,542.114022
730.5,1000,547.520816
329.35,1000,552.940238
211.25,1000,558.433579
334.3,1000,563.920565
609.35,1000,569.420706
620.95,1000,574.960293
513.65,1000,580.58192
5811.6,1000,586.25303
5749.95,1000,592.025162
953.25,1000,597.828942
138.35,1000,603.795084
545.4,1000,609.62959
429.4,1000,615.47969
230.25,1000,621.264579
529.45,1000,626.918545
435.3,1000,632.537396
530.4,1000,638.114681
330.3,1000,643.715786
320.4,1000,649.250435
634.45,1000,654.771655
28.25,1000,660.207503
415.9,1000,665.58717
435.3,1000,670.836758
434.35,1000,676.254542
-28.55,1000,681.649765
523.0,1000,686.888635
440.25,1000,692.066823
377.15,1000,697.333621
223.4,1000,702.594016
533.65,1000,707.910009
520.5,1000,713.188291
330.3,1000,718.615364
440.25,1000,723.972282
515.55,1000,729.361635
428.65,1000,734.698216
140.1,1000,740.057874
385.35,1000,745.343389
415.5,1000,750.669605
429.4,1000,755.956346
130.2,1000,761.278846
630.65,1000,766.54682
628.55,1000,771.734066
279.4,1000,776.969727
534.4,1000,782.21718
305.6,1000,787.464506
332.6,1000,792.760869
230.25,1000,798.037439
155.75,1000,803.338237
619.6,1000,808.527666
319.45,1000,813.625572
225.3,1000,818.721587
530.4,1000,823.985292
324.6,1000,829.179958
532.5,1000,834.47544
522.05,1000,839.938719
524.5,1000,845.598741
413.25,1000,851.25207
6314.1,1000,857.121688
5032.35,1000,862.934388
1595.25,1000,868.859175
665.55,1000,874.694788
-60.0,1000,881.263292
