#{"t_start": 1761602797.7392652, "env_id": "None"}
r,l,t
1095.25,1000,7.014585
303.5,1000,13.168026
1336.1,1000,19.363944
726.55,1000,25.483829
1362.1,1000,31.668934
1750.7,1000,37.871173
1858.05,1000,44.083475
2360.65,1000,50.264757
2434.6,1000,56.503383
2558.4,1000,62.696632
2194.2,1000,68.954866
790.55,1000,75.174435
190.05,1000,81.472944
-381.15,1000,87.64904
-626.55,1000,93.69055
-791.7,1000,99.642657
-739.7,1000,105.573145
-169.8,1000,111.442617
-584.25,1000,117.262501
-280.25,1000,123.097264
-447.35,1000,128.748444
-332.5,1000,134.396734
-445.65,1000,139.846516
-361.85,1000,145.332934
-178.3,1000,150.624806
-314.6,1000,155.970657
-25.0,1000,161.243142
-450.7,1000,166.520103
-328.65,1000,171.721435
-468.95,1000,176.92039
-254.05,1000,182.061084
-743.8,1000,187.318151
23.3,1000,192.497348
-149.55,1000,197.780122
-240.65,1000,203.025906
212.7,1000,208.205006
257.45,1000,213.331358
343.95,1000,218.512519
196.3,1000,223.67303
24.3,1000,228.871332
224.95,1000,234.156522
253.8,1000,239.642158
31.05,1000,245.086291
-1.25,1000,250.675972
6434.05,1000,256.354749
6044.95,1000,262.052511
5507.3,1000,267.830648
5761.45,1000,273.761289
6380.75,1000,279.664732
5723.9,1000,285.620509
6309.9,1000,291.518114
5925.35,1000,297.476444
725.7,1000,303.400863
509.25,1000,309.297657
535.35,1000,315.226351
-486.75,1000,321.088424
240.15,1000,326.901459
30.15,1000,332.562001
330.3,1000,338.267566
233.3,1000,343.955168
35.1,1000,349.696716
129.25,1000,355.357379
620.55,1000,361.112651
321.55,1000,366.922065
35.1,1000,372.761085
125.25,1000,378.743484
115.55,1000,384.596249
630.45,1000,390.528361
-76.75,1000,396.355195
509.5,1000,402.261649
220.55,1000,408.156781
134.2,1000,414.068683
135.15,1000,419.978762
520.15,1000,425.838189
30.15,1000,431.706692
240.15,1000,437.480197
330.3,1000,443.258359
334.3,1000,448.908236
335.25,1000,454.386414
525.45,1000,459.992091
335.25,1000,465.607898
139.15,1000,471.058083
220.35,1000,476.488594
438.35,1000,482.076044
26.35,1000,487.707127
434.35,1000,493.285041
593.2,1000,498.889314
422.75,1000,504.462069
429.4,1000,509.838201
321.0,1000,515.212759
320.4,1000,520.626192
228.55,1000,526.021264
116.9,1000,531.403955
465.4,1000,536.784637
422.55,1000,542.120189
411.7,1000,547.527333
-67.8,1000,552.948753
329.55,1000,558.440584
419.5,1000,563.928079
734.5,1000,569.428213
6153.7,1000,574.966803
5494.95,1000,580.588924
1195.15,1000,586.260035
547.1,1000,592.032172
540.3,1000,597.835085
311.65,1000,603.80109
730.5,1000,609.636069
216.75,1000,615.486181
230.25,1000,621.27159
228.35,1000,626.925546
639.4,1000,632.544396
535.35,1000,638.12166
425.4,1000,643.721791
130.2,1000,649.256438
434.35,1000,654.77917
225.3,1000,660.214512
425.4,1000,665.594172
325.35,1000,670.844246
440.25,1000,676.261561
538.4,1000,681.656272
424.45,1000,686.89512
240.15,1000,692.073828
429.4,1000,697.340625
275.4,1000,702.600022
435.3,1000,707.91752
420.65,1000,713.196293
430.35,1000,718.621375
435.3,1000,723.979292
330.3,1000,729.368632
440.25,1000,734.704214
428.45,1000,740.06487
519.95,1000,745.350399
424.45,1000,750.675611
535.35,1000,755.963346
300.8,1000,761.286359
313.75,1000,766.553819
333.35,1000,771.742064
530.4,1000,776.976235
425.4,1000,782.22419
335.25,1000,787.471515
640.35,1000,792.768383
529.45,1000,798.044441
425.4,1000,803.345561
325.35,1000,808.535114
375.45,1000,813.633572
220.35,1000,818.728614
514.25,1000,823.990299
331.65,1000,829.18642
223.4,1000,834.482445
219.8,1000,839.946225
6411.45,1000,845.604187
6044.3,1000,851.25908
6353.4,1000,857.128702
678.9,1000,862.940388
480.45,1000,868.865176
125.25,1000,874.701785
240.15,1000,881.269297
