#{"t_start": 1761602797.7695513, "env_id": "None"}
r,l,t
1084.75,1000,7.002851
660.55,1000,13.154254
1612.45,1000,19.350703
539.8,1000,25.471566
1876.1,1000,31.656671
2310.15,1000,37.857911
1584.1,1000,44.068737
2332.6,1000,50.252677
2506.2,1000,56.491005
3041.65,1000,62.683864
1964.25,1000,68.943607
2480.95,1000,75.162183
106.8,1000,81.460686
443.6,1000,87.636372
-839.35,1000,93.677292
-718.65,1000,99.628964
-555.1,1000,105.559888
-678.2,1000,111.430357
-672.35,1000,117.251024
-694.25,1000,123.083505
-321.3,1000,128.734691
-161.45,1000,134.382968
-514.3,1000,139.841353
-347.35,1000,145.319665
-376.0,1000,150.611165
-492.25,1000,155.955893
-511.25,1000,161.227886
-338.7,1000,166.506414
-402.9,1000,171.706228
-179.25,1000,176.904629
-172.0,1000,182.044981
-240.8,1000,187.302964
209.45,1000,192.48308
56.6,1000,197.765845
-308.35,1000,203.011145
118.55,1000,208.192261
-214.35,1000,213.316668
87.1,1000,218.497899
-180.65,1000,223.657764
-77.85,1000,228.858064
70.25,1000,234.141758
155.65,1000,239.628894
5809.65,1000,245.072248
5947.2,1000,250.660761
5760.8,1000,256.340483
5879.9,1000,262.038259
5098.65,1000,267.816964
5189.15,1000,273.747026
903.3,1000,279.649471
-46.05,1000,285.605749
225.4,1000,291.503877
156.1,1000,297.461678
303.65,1000,303.387283
309.55,1000,309.282888
630.45,1000,315.211587
130.2,1000,321.073652
185.25,1000,326.887699
85.2,1000,332.549314
207.05,1000,338.254081
240.15,1000,343.939903
425.4,1000,349.682947
230.25,1000,355.343436
25.2,1000,361.099385
620.55,1000,366.909333
25.4,1000,372.745811
140.1,1000,378.729716
240.15,1000,384.583483
106.05,1000,390.514589
425.4,1000,396.339077
327.45,1000,402.249383
325.35,1000,408.142019
298.75,1000,414.05393
437.4,1000,419.964494
234.25,1000,425.824035
177.4,1000,431.69193
518.8,1000,437.466936
229.3,1000,443.243245
315.45,1000,448.894459
520.5,1000,454.371643
0.45,1000,459.977845
230.25,1000,465.594141
335.25,1000,471.043866
533.45,1000,476.476826
229.3,1000,482.063271
635.4,1000,487.693037
-69.9,1000,493.271795
330.3,1000,498.874541
923.95,1000,504.448412
429.6,1000,509.826446
420.45,1000,515.20049
315.45,1000,520.611072
674.65,1000,526.00599
521.65,1000,531.389236
435.3,1000,536.769373
430.35,1000,542.10776
159.75,1000,547.513138
5897.5,1000,552.934484
6309.35,1000,558.425807
5383.25,1000,563.913304
6027.1,1000,569.412534
972.45,1000,574.954031
550.5,1000,580.575157
325.35,1000,586.245766
73.2,1000,592.017899
534.4,1000,597.820679
230.25,1000,603.788823
335.25,1000,609.623321
425.4,1000,615.472428
335.25,1000,621.257924
435.3,1000,626.910791
330.3,1000,632.530144
530.4,1000,638.108418
530.4,1000,643.708105
230.25,1000,649.244172
501.5,1000,654.764953
735.45,1000,660.201243
120.3,1000,665.581136
739.45,1000,670.830511
525.45,1000,676.246844
335.25,1000,681.641505
530.4,1000,686.881156
730.5,1000,692.059566
235.2,1000,697.326364
220.35,1000,702.586746
140.1,1000,707.902749
330.3,1000,713.181032
735.45,1000,718.609113
225.3,1000,723.964516
418.55,1000,729.354873
262.3,1000,734.689965
330.3,1000,740.049613
430.35,1000,745.33462
520.5,1000,750.661879
435.3,1000,755.949094
125.25,1000,761.271138
317.4,1000,766.539694
135.15,1000,771.727705
525.65,1000,776.961478
230.25,1000,782.208922
629.5,1000,787.456239
516.15,1000,792.753609
134.2,1000,798.029184
515.55,1000,803.33255
524.5,1000,808.520912
411.15,1000,813.618318
19.3,1000,818.713825
430.35,1000,823.977045
431.5,1000,829.173211
5908.0,1000,834.468177
6149.55,1000,839.931459
977.1,1000,845.591035
235.5,1000,851.244307
430.35,1000,857.113921
420.45,1000,862.928145
140.1,1000,868.851905
232.45,1000,874.687525
40.05,1000,881.256024
