#{"t_start": 1761602797.7507796, "env_id": "None"}
r,l,t
1447.25,1000,7.009578
1119.95,1000,13.162512
1501.0,1000,19.358943
1385.1,1000,25.478826
1223.15,1000,31.663422
155.5,1000,37.866168
1860.4,1000,44.077477
2075.9,1000,50.259748
1175.6,1000,56.498393
3091.65,1000,62.692126
2917.05,1000,68.950871
2599.8,1000,75.170445
1201.6,1000,81.46895
227.3,1000,87.644533
-539.7,1000,93.685545
-778.95,1000,99.637226
-476.5,1000,105.568146
-207.4,1000,111.438614
-604.0,1000,117.257497
-572.4,1000,123.091756
-452.9,1000,128.742943
-663.85,1000,134.391229
-540.3,1000,139.843587
-454.0,1000,145.328931
-529.4,1000,150.619805
-138.2,1000,155.965661
-259.95,1000,161.237142
32.0,1000,166.513581
-331.8,1000,171.715986
-253.55,1000,176.914387
-111.4,1000,182.054577
-279.4,1000,187.311637
-242.4,1000,192.491838
-400.95,1000,197.775111
-218.15,1000,203.020403
12.4,1000,208.199999
-83.75,1000,213.326944
-143.55,1000,218.506531
-24.1,1000,223.667027
-173.75,1000,228.866328
162.3,1000,234.151017
183.45,1000,239.636153
58.35,1000,245.080788
117.85,1000,250.670472
409.6,1000,256.348743
18.7,1000,262.046514
272.75,1000,267.825645
5772.5,1000,273.756285
5687.95,1000,279.658731
5990.35,1000,285.614506
5747.95,1000,291.512601
6057.4,1000,297.470937
5752.05,1000,303.395391
6324.45,1000,309.292147
6332.4,1000,315.220849
4.05,1000,321.082911
400.65,1000,326.896454
38.3,1000,332.558565
45.15,1000,338.26334
225.3,1000,343.949166
535.35,1000,349.69021
115.35,1000,355.351872
-197.3,1000,361.107645
315.45,1000,366.916586
30.15,1000,372.755075
25.2,1000,378.738468
544.45,1000,384.591742
85.2,1000,390.522854
-80.75,1000,396.349704
435.3,1000,402.256645
120.5,1000,408.151277
130.2,1000,414.063176
314.7,1000,419.973248
335.25,1000,425.832666
115.35,1000,431.700187
39.1,1000,437.475187
25.2,1000,443.252852
430.35,1000,448.90272
66.55,1000,454.380902
235.2,1000,459.98709
435.3,1000,465.602386
330.3,1000,471.052571
424.45,1000,476.483073
431.8,1000,482.070544
335.25,1000,487.701621
335.25,1000,493.279042
135.15,1000,498.8838
230.25,1000,504.456671
224.75,1000,509.83469
630.45,1000,515.208755
235.2,1000,520.620819
511.2,1000,526.015254
115.35,1000,531.397953
130.2,1000,536.778637
535.35,1000,542.116018
379.6,1000,547.522816
427.5,1000,552.943238
231.4,1000,558.434575
334.3,1000,563.922565
514.05,1000,569.422707
235.2,1000,574.961293
425.4,1000,580.58341
508.55,1000,586.255025
6289.0,1000,592.026158
6068.3,1000,597.829943
5804.5,1000,603.796086
947.25,1000,609.631583
459.7,1000,615.480691
435.3,1000,621.26658
229.3,1000,626.919546
330.3,1000,632.539397
535.35,1000,638.115675
729.55,1000,643.716786
320.4,1000,649.252435
435.3,1000,654.773657
434.35,1000,660.209504
369.35,1000,665.58917
-69.9,1000,670.838758
434.35,1000,676.256544
229.3,1000,681.650766
413.25,1000,686.889637
239.2,1000,692.068822
429.4,1000,697.335621
235.2,1000,702.595012
235.2,1000,707.912009
15.3,1000,713.190291
430.35,1000,718.616365
7.7,1000,723.973779
676.95,1000,729.363125
225.3,1000,734.69921
235.2,1000,740.058875
235.2,1000,745.345389
325.35,1000,750.669612
335.25,1000,755.957338
305.55,1000,761.279854
429.4,1000,766.54782
425.4,1000,771.736068
515.55,1000,776.970734
326.7,1000,782.218181
530.4,1000,787.466503
604.9,1000,792.762869
340.2,1000,798.039431
511.95,1000,803.340237
325.35,1000,808.529667
516.9,1000,813.627565
229.3,1000,818.723083
30.35,1000,823.986289
536.5,1000,829.181959
574.35,1000,834.477441
708.1,1000,839.94072
601.75,1000,845.599741
424.85,1000,851.253567
140.1,1000,857.123187
326.5,1000,862.936383
6317.45,1000,868.860169
5676.45,1000,874.696784
-266.1,1000,881.265287
