#{"t_start": 1761602797.742266, "env_id": "None"}
r,l,t
1630.7,1000,7.011584
901.1,1000,13.166025
1644.1,1000,19.361944
1355.0,1000,25.48183
1723.7,1000,31.666937
1710.8,1000,37.869174
2079.0,1000,44.081474
2169.05,1000,50.26326
2258.1,1000,56.501383
1027.75,1000,62.694635
365.8,1000,68.953377
-509.9,1000,75.173952
2411.35,1000,81.470944
2263.95,1000,87.64804
972.9,1000,93.68855
740.45,1000,99.64066
-653.25,1000,105.572147
-94.95,1000,111.440618
-692.1,1000,117.261502
-345.65,1000,123.095264
-539.6,1000,128.746445
-761.6,1000,134.395744
-364.05,1000,139.845097
-209.15,1000,145.331935
-693.45,1000,150.624314
-235.1,1000,155.96966
-619.15,1000,161.241143
-483.0,1000,166.518102
-139.25,1000,171.719434
-395.35,1000,176.918381
-264.8,1000,182.059091
260.35,1000,187.31615
-8.6,1000,192.496352
5027.9,1000,197.779122
4950.05,1000,203.023912
4776.0,1000,208.203509
5792.85,1000,213.329358
5638.7,1000,218.510517
5034.3,1000,223.671028
5594.25,1000,228.869333
5586.6,1000,234.154527
5357.8,1000,239.640159
571.65,1000,245.085281
34.6,1000,250.673977
228.6,1000,256.351748
173.35,1000,262.050511
143.55,1000,267.82965
527.65,1000,273.76029
173.65,1000,279.661731
173.0,1000,285.618509
183.05,1000,291.516115
277.0,1000,297.474446
458.9,1000,303.399856
112.8,1000,309.296661
209.35,1000,315.224358
430.35,1000,321.086423
140.1,1000,326.899461
438.35,1000,332.560003
235.2,1000,338.265573
225.3,1000,343.953168
-84.35,1000,349.694716
224.35,1000,355.355382
366.9,1000,361.110651
36.25,1000,366.921056
235.2,1000,372.759085
529.45,1000,378.741476
324.8,1000,384.594253
23.3,1000,390.527362
315.65,1000,396.353195
593.8,1000,402.260647
530.4,1000,408.154787
540.3,1000,414.067683
535.35,1000,419.976763
440.25,1000,425.837179
325.35,1000,431.704697
430.35,1000,437.478199
730.7,1000,443.256359
530.4,1000,448.907234
324.4,1000,454.384417
725.55,1000,459.991092
535.35,1000,465.6059
320.4,1000,471.057085
239.2,1000,476.486588
325.35,1000,482.07405
540.3,1000,487.705126
736.6,1000,493.283547
129.25,1000,498.887315
330.3,1000,504.460071
423.15,1000,509.837203
340.2,1000,515.21176
5097.25,1000,520.624326
6052.95,1000,526.019265
1313.85,1000,531.401957
389.55,1000,536.781636
539.35,1000,542.119191
85.2,1000,547.526331
180.3,1000,552.946753
310.75,1000,558.438586
330.3,1000,563.927078
234.25,1000,569.426214
235.2,1000,574.964808
228.55,1000,580.586924
426.75,1000,586.258035
220.35,1000,592.030163
227.8,1000,597.833085
328.4,1000,603.800092
540.3,1000,609.634097
528.7,1000,615.484203
130.2,1000,621.270589
630.45,1000,626.924051
734.5,1000,632.542395
130.2,1000,638.11966
125.25,1000,643.719792
125.25,1000,649.255949
18.55,1000,654.777169
396.15,1000,660.212511
115.35,1000,665.593174
539.35,1000,670.842245
120.3,1000,676.26055
339.25,1000,681.654274
235.2,1000,686.893123
135.15,1000,692.071826
340.2,1000,697.339627
735.45,1000,702.599021
630.45,1000,707.916523
480.45,1000,713.193797
-353.55,1000,718.620374
430.35,1000,723.977293
115.35,1000,729.366632
834.55,1000,734.703718
335.25,1000,740.061869
525.45,1000,745.349398
255.55,1000,750.673612
635.4,1000,755.961346
518.6,1000,761.284384
309.95,1000,766.551821
425.4,1000,771.740063
330.3,1000,776.975241
218.45,1000,782.22218
625.5,1000,787.46951
6443.35,1000,792.767383
6323.55,1000,798.042442
5796.15,1000,803.344743
1088.85,1000,808.533113
145.35,1000,813.631571
355.5,1000,818.726597
345.3,1000,823.988298
435.3,1000,829.18447
319.45,1000,834.480446
335.25,1000,839.94423
330.3,1000,845.602188
603.05,1000,851.25708
325.35,1000,857.126702
331.45,1000,862.93839
237.3,1000,868.863679
218.3,1000,874.700784
40.05,1000,881.268298
