#{"t_start": 1761602797.7432663, "env_id": "None"}
r,l,t
818.65,1000,7.012089
1359.45,1000,13.166025
1113.7,1000,19.361943
1129.4,1000,25.480829
1432.35,1000,31.666935
1675.7,1000,37.869172
2174.3,1000,44.080474
2476.8,1000,50.262259
2901.7,1000,56.500383
2546.65,1000,62.694638
3085.0,1000,68.95338
2576.95,1000,75.172951
2701.9,1000,81.470945
1023.65,1000,87.648039
307.4,1000,93.688556
-488.6,1000,99.639659
-599.2,1000,105.571146
-323.85,1000,111.440618
-300.15,1000,117.260501
-724.85,1000,123.095274
-341.85,1000,128.745445
-512.05,1000,134.394743
-869.4,1000,139.845101
-261.3,1000,145.331935
-518.75,1000,150.623313
-309.75,1000,155.968659
-105.85,1000,161.241142
-214.05,1000,166.517102
-182.5,1000,171.719439
-382.6,1000,176.91838
-439.0,1000,182.05809
-81.2,1000,187.31615
290.65,1000,192.495352
-267.3,1000,197.778122
-147.5,1000,203.023913
-390.75,1000,208.202509
-110.85,1000,213.329358
-261.3,1000,218.510524
225.55,1000,223.671028
-231.05,1000,228.869333
316.15,1000,234.154531
453.85,1000,239.640159
14.2,1000,245.08428
230.3,1000,250.673977
68.25,1000,256.352252
80.25,1000,262.05051
273.2,1000,267.82865
5785.95,1000,273.75929
5801.1,1000,279.662235
5027.65,1000,285.618508
6436.55,1000,291.516125
6204.05,1000,297.474449
5255.55,1000,303.398855
6420.15,1000,309.29566
6167.4,1000,315.224359
6453.4,1000,321.085423
632.6,1000,326.89946
129.0,1000,332.561573
327.85,1000,338.265566
-79.8,1000,343.952672
-69.9,1000,349.693716
435.3,1000,355.355386
15.3,1000,361.110651
30.15,1000,366.920056
40.05,1000,372.758085
330.3,1000,378.741977
10.35,1000,384.594253
-89.7,1000,390.526361
125.25,1000,396.353225
-74.85,1000,402.259647
328.0,1000,408.15479
115.35,1000,414.066682
130.2,1000,419.976762
540.3,1000,425.836179
135.15,1000,431.703696
37.2,1000,437.478198
30.15,1000,443.256358
435.3,1000,448.906234
225.3,1000,454.384434
425.4,1000,459.990092
-254.45,1000,465.605907
334.3,1000,471.056084
324.4,1000,476.486587
420.45,1000,482.07405
135.15,1000,487.705126
62.0,1000,493.282547
315.45,1000,498.887314
30.15,1000,504.460077
321.55,1000,509.837204
225.3,1000,515.21076
525.45,1000,520.624328
122.4,1000,526.018265
509.85,1000,531.400957
225.3,1000,536.782141
229.3,1000,542.11819
510.6,1000,547.52533
439.3,1000,552.945753
261.55,1000,558.438585
524.5,1000,563.926078
520.9,1000,569.426212
425.4,1000,574.964805
505.7,1000,580.586923
409.45,1000,586.258035
525.45,1000,592.03017
5314.45,1000,597.833455
6099.45,1000,603.799091
1021.45,1000,609.634097
289.45,1000,615.484204
425.4,1000,621.269589
110.4,1000,626.923051
630.45,1000,632.542402
171.1,1000,638.119659
235.2,1000,643.719791
224.35,1000,649.255948
430.35,1000,654.777169
220.35,1000,660.212511
525.45,1000,665.592677
346.2,1000,670.842237
240.15,1000,676.25955
435.3,1000,681.654275
628.75,1000,686.893152
406.8,1000,692.070825
680.55,1000,697.338626
335.25,1000,702.598021
340.2,1000,707.915523
229.3,1000,713.193801
430.35,1000,718.620376
630.45,1000,723.977293
323.65,1000,729.366638
330.3,1000,734.702717
425.4,1000,740.06238
235.2,1000,745.348398
530.4,1000,750.673115
339.25,1000,755.961346
335.25,1000,761.28436
625.5,1000,766.55082
529.45,1000,771.739063
516.9,1000,776.974241
424.45,1000,782.222187
235.2,1000,787.469509
319.55,1000,792.766382
400.35,1000,798.042439
120.3,1000,803.343743
172.1,1000,808.533179
515.55,1000,813.631571
420.65,1000,818.726597
418.75,1000,823.988298
424.95,1000,829.18447
625.7,1000,834.480445
228.35,1000,839.944229
221.5,1000,845.603256
507.95,1000,851.257087
540.3,1000,857.1267
522.8,1000,862.938388
5606.25,1000,868.862679
6133.6,1000,874.699784
330.6,1000,881.267298
