#{"t_start": 1761602797.7412648, "env_id": "None"}
r,l,t
524.7,1000,7.012585
-238.5,1000,13.167027
196.5,1000,19.362945
1676.25,1000,25.48183
765.3,1000,31.667938
1788.55,1000,37.869173
1274.35,1000,44.081475
1937.35,1000,50.262758
2107.0,1000,56.502384
2403.85,1000,62.694632
2354.6,1000,68.954378
2253.3,1000,75.173946
609.1,1000,81.471945
572.85,1000,87.64804
-292.3,1000,93.689551
-262.65,1000,99.640657
-782.65,1000,105.572148
-448.0,1000,111.441619
-525.35,1000,117.261503
-290.75,1000,123.096265
-345.15,1000,128.746444
-269.9,1000,134.39574
-100.85,1000,139.845603
-512.45,1000,145.331935
-184.7,1000,150.62431
-185.05,1000,155.969658
-341.8,1000,161.242144
-471.05,1000,166.518103
-193.8,1000,171.719435
-45.05,1000,176.919383
-81.45,1000,182.059084
-43.55,1000,187.316152
20.9,1000,192.496349
190.2,1000,197.779123
-36.2,1000,203.024914
-8.95,1000,208.204007
120.75,1000,213.330359
140.6,1000,218.511518
-123.65,1000,223.67103
-13.4,1000,228.870334
5372.0,1000,234.155528
5824.5,1000,239.640158
5455.4,1000,245.084291
5796.9,1000,250.674978
6032.75,1000,256.352749
6024.5,1000,262.051512
5390.5,1000,267.82965
6171.8,1000,273.760291
5927.55,1000,279.662732
6038.15,1000,285.61851
434.6,1000,291.517116
74.6,1000,297.475447
415.8,1000,303.399856
304.6,1000,309.296662
46.05,1000,315.225359
240.15,1000,321.086425
-70.85,1000,326.900462
319.45,1000,332.561004
135.15,1000,338.265567
-79.8,1000,343.953169
120.3,1000,349.694716
125.25,1000,355.356383
115.35,1000,361.110651
135.15,1000,366.921057
140.1,1000,372.759086
339.25,1000,378.742477
35.1,1000,384.594249
225.3,1000,390.527362
324.4,1000,396.354196
230.25,1000,402.260649
220.95,1000,408.154782
424.45,1000,414.067683
230.25,1000,419.976762
34.15,1000,425.837182
420.45,1000,431.704693
539.35,1000,437.4792
124.3,1000,443.25736
420.45,1000,448.907235
130.2,1000,454.385418
33.2,1000,459.991094
30.15,1000,465.606901
530.4,1000,471.057086
525.45,1000,476.487589
519.55,1000,482.075052
435.3,1000,487.706127
130.15,1000,493.284044
135.15,1000,498.888316
435.3,1000,504.461072
623.6,1000,509.838204
273.65,1000,515.211761
425.4,1000,520.625327
203.25,1000,526.019264
435.3,1000,531.402958
335.45,1000,536.782637
629.5,1000,542.119191
529.45,1000,547.526331
230.25,1000,552.946754
327.45,1000,558.439587
5915.3,1000,563.927079
6505.2,1000,569.427215
5246.9,1000,574.965809
5678.15,1000,580.587925
1091.4,1000,586.259036
605.7,1000,592.030173
439.65,1000,597.834086
129.25,1000,603.800093
430.35,1000,609.63407
224.95,1000,615.485204
629.5,1000,621.270591
625.5,1000,626.924549
520.5,1000,632.543396
430.35,1000,638.120661
30.15,1000,643.720793
439.3,1000,649.254942
335.25,1000,654.778171
430.35,1000,660.213512
420.45,1000,665.593173
325.35,1000,670.843246
334.3,1000,676.260552
520.5,1000,681.655276
235.4,1000,686.894124
430.35,1000,692.072827
135.15,1000,697.339628
625.5,1000,702.599015
235.2,1000,707.916525
120.3,1000,713.194798
430.35,1000,718.620375
331.65,1000,723.978295
615.6,1000,729.367633
534.4,1000,734.703216
533.45,1000,740.06287
235.2,1000,745.349392
126.4,1000,750.673611
430.35,1000,755.961346
629.5,1000,761.284359
420.85,1000,766.552822
440.25,1000,771.740065
634.45,1000,776.975242
233.5,1000,782.223181
287.75,1000,787.470511
125.25,1000,792.767385
330.3,1000,798.042442
227.6,1000,803.344562
204.95,1000,808.534114
275.4,1000,813.632572
520.5,1000,818.727598
635.4,1000,823.989299
232.35,1000,829.185472
219.6,1000,834.481447
130.2,1000,839.945231
6389.05,1000,845.603189
5833.4,1000,851.258081
1311.5,1000,857.127703
535.5,1000,862.939391
145.2,1000,868.863177
25.2,1000,874.700785
-60.0,1000,881.268299
