#{"t_start": 1761602797.7655416, "env_id": "None"}
r,l,t
551.65,1000,7.002862
841.5,1000,13.156265
1561.45,1000,19.352713
1340.05,1000,25.472574
1262.7,1000,31.658171
-410.1,1000,37.858411
444.65,1000,44.07074
647.35,1000,50.253687
2226.65,1000,56.492028
2494.1,1000,62.684873
2693.35,1000,68.943618
2572.45,1000,75.164192
821.8,1000,81.461691
271.55,1000,87.637877
-642.55,1000,93.678786
-834.7,1000,99.629964
-924.35,1000,105.561893
-419.6,1000,111.432369
-413.85,1000,117.252034
-353.25,1000,123.085507
-507.6,1000,128.735708
-324.5,1000,134.384977
-549.2,1000,139.841399
-449.8,1000,145.321677
-159.7,1000,150.613174
-178.5,1000,155.957898
-473.75,1000,161.22989
-270.95,1000,166.507921
-222.85,1000,171.708734
-128.95,1000,176.906631
-605.7,1000,182.04699
-224.7,1000,187.304974
92.85,1000,192.48409
-322.2,1000,197.768351
22.7,1000,203.012159
94.75,1000,208.193763
59.8,1000,213.318168
85.7,1000,218.498769
130.55,1000,223.65977
5833.5,1000,228.858566
5702.05,1000,234.142769
5855.5,1000,239.630904
5457.25,1000,245.073257
6123.6,1000,250.662771
5797.95,1000,256.341489
5730.25,1000,262.040257
5998.05,1000,267.817889
6017.2,1000,273.748527
1059.15,1000,279.651477
248.6,1000,285.607751
156.15,1000,291.505887
439.5,1000,297.463687
384.85,1000,303.388638
284.6,1000,309.284898
234.25,1000,315.21359
135.15,1000,321.074662
135.15,1000,326.888201
425.4,1000,332.550315
230.25,1000,338.25609
630.45,1000,343.941914
223.4,1000,349.683949
118.25,1000,355.344445
330.3,1000,361.100387
230.25,1000,366.910329
32.25,1000,372.747317
335.25,1000,378.731722
526.8,1000,384.584494
125.25,1000,390.516592
228.35,1000,396.342078
485.4,1000,402.250386
410.55,1000,408.144028
330.3,1000,414.05594
535.35,1000,419.965504
234.25,1000,425.826044
630.45,1000,431.692939
535.35,1000,437.468428
620.55,1000,443.245247
220.35,1000,448.896469
533.45,1000,454.373653
325.35,1000,459.979846
230.25,1000,465.596162
335.25,1000,471.045876
525.45,1000,476.478329
235.2,1000,482.063281
340.2,1000,487.694046
230.25,1000,493.272804
415.5,1000,498.87555
422.55,1000,504.44891
722.15,1000,509.82695
316.8,1000,515.2015
222.65,1000,520.613074
315.85,1000,526.008496
522.8,1000,531.391242
239.2,1000,536.771384
284.0,1000,542.10826
534.55,1000,547.515156
6597.35,1000,552.936494
5754.8,1000,558.427817
745.0,1000,563.915314
265.95,1000,569.415031
177.75,1000,574.955039
573.25,1000,580.576184
423.5,1000,586.247272
644.5,1000,592.0184
326.5,1000,597.822687
529.45,1000,603.789828
434.55,1000,609.624333
331.45,1000,615.473439
540.3,1000,621.258819
429.4,1000,626.912292
230.25,1000,632.532147
140.1,1000,638.108926
425.4,1000,643.709031
420.45,1000,649.245182
526.7,1000,654.765955
535.35,1000,660.203246
430.35,1000,665.581915
557.25,1000,670.831502
277.3,1000,676.248781
535.35,1000,681.643514
532.5,1000,686.883164
225.3,1000,692.060564
716.25,1000,697.327862
428.85,1000,702.588254
335.25,1000,707.904759
310.5,1000,713.182037
330.3,1000,718.610113
478.35,1000,723.966526
534.4,1000,729.356883
740.4,1000,734.691974
630.45,1000,740.05162
339.25,1000,745.337629
19.5,1000,750.66237
430.35,1000,755.951104
320.4,1000,761.272148
397.85,1000,766.540699
625.5,1000,771.728304
453.45,1000,776.963481
280.35,1000,782.210932
427.5,1000,787.458745
320.4,1000,792.755619
524.9,1000,798.031186
223.4,1000,803.332983
720.8,1000,808.522413
534.4,1000,813.620321
230.25,1000,818.715835
6403.0,1000,823.978537
5897.85,1000,829.175221
1172.8,1000,834.468679
165.85,1000,839.932469
322.5,1000,845.592037
322.7,1000,851.246316
340.2,1000,857.114937
211.05,1000,862.928621
232.35,1000,868.852915
621.1,1000,874.689026
-1004.3,1000,881.257529
