#{"t_start": 1761602797.7432663, "env_id": "None"}
r,l,t
1536.75,1000,7.012089
915.7,1000,13.166025
1087.85,1000,19.361943
962.7,1000,25.480829
2173.75,1000,31.666935
1398.85,1000,37.868174
2461.8,1000,44.080474
2588.0,1000,50.262259
2175.3,1000,56.500383
2502.8,1000,62.694638
1577.35,1000,68.95338
3056.1,1000,75.172951
2982.9,1000,81.470945
2278.5,1000,87.647039
2954.45,1000,93.687549
769.1,1000,99.639659
-200.8,1000,105.571146
-430.4,1000,111.440618
-625.7,1000,117.260501
-421.05,1000,123.095274
-434.35,1000,128.745445
-375.45,1000,134.394743
-415.95,1000,139.845101
-258.45,1000,145.330935
-464.65,1000,150.623313
-98.4,1000,155.968659
-405.85,1000,161.241142
-364.35,1000,166.517102
-242.65,1000,171.718434
-523.4,1000,176.91838
-62.35,1000,182.05809
-223.85,1000,187.31515
-155.5,1000,192.495352
-201.4,1000,197.778122
-11.25,1000,203.022912
148.6,1000,208.202509
-80.35,1000,213.328358
26.65,1000,218.510524
111.05,1000,223.670028
76.35,1000,228.869333
183.85,1000,234.154531
50.25,1000,239.639159
261.9,1000,245.08428
259.65,1000,250.673977
277.3,1000,256.352252
316.25,1000,262.05051
163.3,1000,267.82865
422.1,1000,273.75929
498.75,1000,279.662235
203.5,1000,285.617508
607.45,1000,291.516125
421.75,1000,297.474449
346.05,1000,303.398855
513.65,1000,309.29566
428.45,1000,315.224359
620.55,1000,321.085423
240.15,1000,326.89946
208.55,1000,332.560001
124.3,1000,338.264572
439.3,1000,343.952672
249.75,1000,349.693716
29.2,1000,355.355386
324.4,1000,361.109651
6437.1,1000,366.920056
5868.6,1000,372.758085
6443.2,1000,378.740476
5868.75,1000,384.594253
6190.2,1000,390.526361
5867.8,1000,396.352194
6338.5,1000,402.259647
6053.1,1000,408.153786
844.5,1000,414.066682
380.4,1000,419.975762
335.25,1000,425.836179
114.9,1000,431.703696
140.1,1000,437.478198
22.35,1000,443.255358
120.3,1000,448.906234
230.25,1000,454.384434
330.3,1000,459.990092
225.3,1000,465.6049
330.3,1000,471.056084
61.45,1000,476.486587
424.85,1000,482.07305
334.3,1000,487.705126
525.85,1000,493.282547
640.35,1000,498.887314
230.25,1000,504.459071
229.3,1000,509.837204
325.35,1000,515.21076
530.4,1000,520.624328
525.45,1000,526.018265
-71.45,1000,531.400957
525.85,1000,536.782141
137.25,1000,542.11819
30.15,1000,547.52533
323.45,1000,552.945753
524.05,1000,558.437585
134.2,1000,563.926078
225.3,1000,569.425214
525.45,1000,574.964805
516.7,1000,580.586923
610.1,1000,586.258035
330.7,1000,592.029163
437.4,1000,597.832084
425.4,1000,603.799091
440.25,1000,609.633097
90.15,1000,615.484204
410.2,1000,621.269589
130.2,1000,626.923051
430.35,1000,632.541395
330.3,1000,638.11866
330.3,1000,643.719791
430.35,1000,649.254949
129.25,1000,654.777169
240.15,1000,660.212511
325.35,1000,665.592173
430.35,1000,670.842237
535.35,1000,676.25955
5284.55,1000,681.654275
4080.3,1000,686.893152
2346.8,1000,692.070825
866.55,1000,697.338626
470.4,1000,702.598021
414.0,1000,707.915523
634.6,1000,713.193801
734.5,1000,718.619373
131.55,1000,723.976293
528.5,1000,729.366638
295.45,1000,734.702717
440.25,1000,740.06238
435.3,1000,745.348398
333.35,1000,750.673115
330.3,1000,755.960346
320.4,1000,761.283384
435.3,1000,766.55082
430.35,1000,771.739063
424.45,1000,776.974241
20.25,1000,782.22118
230.25,1000,787.469509
375.45,1000,792.766382
10.95,1000,798.042439
404.1,1000,803.343743
381.55,1000,808.532113
320.4,1000,813.631571
416.85,1000,818.725597
134.4,1000,823.988298
615.8,1000,829.18347
515.95,1000,834.480445
424.85,1000,839.943229
291.9,1000,845.602188
518.05,1000,851.257087
530.4,1000,857.1267
125.4,1000,862.938388
134.4,1000,868.862679
598.15,1000,874.699784
40.05,1000,881.267298
