#{"t_start": 1761602797.7487795, "env_id": "None"}
r,l,t
1073.05,1000,7.010579
399.2,1000,13.16352
906.95,1000,19.359942
1133.55,1000,25.479826
2003.05,1000,31.664422
1624.85,1000,37.86666
2246.95,1000,44.078477
1951.05,1000,50.260749
1942.75,1000,56.499393
923.3,1000,62.692126
-111.9,1000,68.950871
2544.45,1000,75.170438
3069.7,1000,81.468943
3202.25,1000,87.645525
2585.0,1000,93.68654
2705.9,1000,99.638222
1357.65,1000,105.569146
-289.2,1000,111.439612
-149.2,1000,117.258497
-556.95,1000,123.092749
-617.45,1000,128.74393
-389.5,1000,134.39223
-184.1,1000,139.844588
-512.95,1000,145.329943
-721.8,1000,150.620798
-439.45,1000,155.966654
-534.8,1000,161.238142
-334.45,1000,166.514588
-183.15,1000,171.717418
-323.2,1000,176.914875
-350.2,1000,182.055577
21.0,1000,187.312644
180.45,1000,192.492839
-111.6,1000,197.775608
61.2,1000,203.021404
70.2,1000,208.201
-141.1,1000,213.32685
282.95,1000,218.507531
5.15,1000,223.668024
147.7,1000,228.866819
-28.65,1000,234.152017
152.9,1000,239.637149
96.0,1000,245.081772
194.3,1000,250.671471
139.1,1000,256.349742
147.0,1000,262.047514
6007.55,1000,267.82664
5748.2,1000,273.75728
6168.4,1000,279.659731
5932.5,1000,285.614995
6418.4,1000,291.513601
5781.1,1000,297.471936
5137.35,1000,303.396846
1164.35,1000,309.293146
340.3,1000,315.221858
-683.85,1000,321.083912
-318.0,1000,326.897454
35.1,1000,332.559565
440.4,1000,338.263052
35.1,1000,343.950166
424.85,1000,349.691202
140.25,1000,355.352872
205.5,1000,361.107643
330.3,1000,366.917596
30.15,1000,372.755571
119.0,1000,378.739467
-74.85,1000,384.592743
25.2,1000,390.523847
225.3,1000,396.350714
135.15,1000,402.257645
234.25,1000,408.152277
213.5,1000,414.064176
517.1,1000,419.974249
440.25,1000,425.833674
20.25,1000,431.701188
139.15,1000,437.475685
206.45,1000,443.253852
310.7,1000,448.90372
-60.0,1000,454.38191
229.3,1000,459.988092
120.3,1000,465.603393
124.3,1000,471.05358
35.1,1000,476.484073
430.35,1000,482.071545
230.25,1000,487.702613
429.6,1000,493.280042
534.4,1000,498.8848
430.35,1000,504.456564
196.05,1000,509.835698
294.2,1000,515.209755
327.45,1000,520.62182
363.85,1000,526.015751
331.45,1000,531.398952
629.5,1000,536.779637
535.35,1000,542.115676
380.4,1000,547.523817
425.4,1000,552.944238
434.55,1000,558.435071
417.8,1000,563.923565
322.15,1000,569.423706
239.2,1000,574.962293
5948.95,1000,580.584418
6150.7,1000,586.255522
842.95,1000,592.027155
745.65,1000,597.830944
135.15,1000,603.796578
325.35,1000,609.631581
313.0,1000,615.481691
340.2,1000,621.266577
235.2,1000,626.920546
519.55,1000,632.539402
540.3,1000,638.116668
235.2,1000,643.716782
124.3,1000,649.253436
440.25,1000,654.774656
630.45,1000,660.209504
425.4,1000,665.590171
233.05,1000,670.839751
725.55,1000,676.257551
339.0,1000,681.651766
523.55,1000,686.890638
215.4,1000,692.069823
230.25,1000,697.336617
238.25,1000,702.595507
340.2,1000,707.913009
611.25,1000,713.191291
319.45,1000,718.617364
530.4,1000,723.97478
321.75,1000,729.364117
435.3,1000,734.700211
630.45,1000,740.059875
630.45,1000,745.345885
429.4,1000,750.670605
340.2,1000,755.958341
325.35,1000,761.280847
416.65,1000,766.548816
235.2,1000,771.73706
219.4,1000,776.971727
434.35,1000,782.219186
535.35,1000,787.467499
334.3,1000,792.76387
215.6,1000,798.040433
408.65,1000,803.341237
119.5,1000,808.530667
425.4,1000,813.628572
530.4,1000,818.72409
435.3,1000,823.987287
726.9,1000,829.182958
385.35,1000,834.477435
526.6,1000,839.94172
164.5,1000,845.600749
4978.35,1000,851.254567
3544.85,1000,857.124195
2840.45,1000,862.936875
545.85,1000,868.86117
530.4,1000,874.697784
140.1,1000,881.265784
