#{"t_start": 1761602797.772551, "env_id": "None"}
r,l,t
244.55,1000,7.001852
372.2,1000,13.152759
-313.4,1000,19.349703
1813.7,1000,25.470566
1542.25,1000,31.655679
1775.35,1000,37.856911
2231.15,1000,44.067737
2538.6,1000,50.251683
2305.8,1000,56.489005
1069.25,1000,62.681864
-433.95,1000,68.942607
-177.75,1000,75.161176
-430.9,1000,81.459687
-844.65,1000,87.635383
-815.9,1000,93.6763
-440.55,1000,99.626957
-556.4,1000,105.558887
-567.0,1000,111.430352
-579.45,1000,117.250026
-990.7,1000,123.081497
-342.9,1000,128.732699
-321.5,1000,134.381968
-525.2,1000,139.840353
-183.5,1000,145.318673
-327.9,1000,150.609165
-331.85,1000,155.954896
-519.65,1000,161.226894
-148.1,1000,166.504418
-396.05,1000,171.70524
-284.9,1000,176.904138
-189.9,1000,182.043484
-186.3,1000,187.301964
-390.55,1000,192.482081
-439.35,1000,197.76485
101.15,1000,203.010138
57.75,1000,208.191263
159.45,1000,213.315672
15.25,1000,218.496901
198.25,1000,223.656768
133.85,1000,228.856068
-125.65,1000,234.139759
290.15,1000,239.627894
392.7,1000,245.070248
5507.35,1000,250.658769
5209.8,1000,256.338484
5862.6,1000,262.037259
5277.65,1000,267.814965
5948.05,1000,273.746024
6112.3,1000,279.648471
5840.75,1000,285.604884
5759.25,1000,291.502877
856.55,1000,297.461679
263.35,1000,303.386283
296.05,1000,309.281889
215.4,1000,315.210588
31.3,1000,321.071652
340.2,1000,326.886701
128.3,1000,332.548307
425.4,1000,338.253081
20.25,1000,343.93891
135.15,1000,349.681939
-64.95,1000,355.341435
25.2,1000,361.097386
135.15,1000,366.908328
0.7,1000,372.744816
130.2,1000,378.727716
235.2,1000,384.581485
235.2,1000,390.513092
17.4,1000,396.338585
130.2,1000,402.247384
220.1,1000,408.141019
435.3,1000,414.05293
235.2,1000,419.962998
130.2,1000,425.823537
225.3,1000,431.690928
235.2,1000,437.464936
435.3,1000,443.241245
125.25,1000,448.893968
289.3,1000,454.370643
625.5,1000,459.97685
-74.85,1000,465.59315
433.4,1000,471.041866
639.4,1000,476.474828
424.45,1000,482.061279
324.6,1000,487.691037
530.4,1000,493.269795
420.45,1000,498.873044
505.3,1000,504.447504
411.55,1000,509.824451
240.15,1000,515.199617
375.45,1000,520.610064
317.0,1000,526.003995
405.45,1000,531.388236
481.55,1000,536.768373
640.35,1000,542.105765
430.35,1000,547.511145
329.35,1000,552.932989
435.3,1000,558.424857
525.45,1000,563.911305
6172.7,1000,569.411529
5786.0,1000,574.952031
5547.6,1000,580.573661
1108.85,1000,586.244771
438.45,1000,592.015903
140.25,1000,597.821679
523.15,1000,603.787823
170.4,1000,609.621329
635.4,1000,615.47043
434.35,1000,621.256929
235.2,1000,626.90979
135.15,1000,632.529136
230.25,1000,638.107418
215.4,1000,643.706105
30.15,1000,649.243172
235.2,1000,654.762953
535.35,1000,660.200243
335.25,1000,665.580137
35.1,1000,670.828492
535.35,1000,676.245846
224.35,1000,681.640505
430.35,1000,686.880156
520.05,1000,692.057558
517.1,1000,697.325365
620.55,1000,702.585748
235.2,1000,707.900749
405.6,1000,713.179032
225.3,1000,718.607113
536.5,1000,723.96302
533.65,1000,729.35338
440.25,1000,734.688964
540.3,1000,740.048614
535.35,1000,745.334128
631.8,1000,750.659887
535.35,1000,755.948096
625.5,1000,761.269138
725.55,1000,766.537694
310.35,1000,771.726713
535.35,1000,776.960478
380.4,1000,782.20793
216.0,1000,787.455244
515.55,1000,792.75161
221.7,1000,798.028184
385.35,1000,803.33055
520.5,1000,808.518913
730.5,1000,813.617318
277.5,1000,818.711825
640.35,1000,823.976045
511.75,1000,829.171211
117.45,1000,834.46719
440.25,1000,839.92946
5277.85,1000,845.590029
6298.45,1000,851.243307
1101.7,1000,857.112922
554.5,1000,862.92614
220.35,1000,868.849905
59.9,1000,874.686524
340.2,1000,881.255029
